"season","week","team","opponent","gsis_id","sleeper_id","full_name","passer_gsis_id","bucket","targets","target_read_share","receptions","receiving_yards","yards_per_target","air_yards","adot","yac","epa_per_target","success_rate","first_down_rate","explosive_rate","receiving_tds","td_rate","targets_eligible","targets_charted_read","read_coverage_rate","output_class","source","read_semantics"
2026,1,"BUF","HOU","00-0034827","4983","D.J. Moore","00-0034857","RAW_2",1,0.125,1,43,43,24,24,19,4.16196589631727,1,1,1,1,1,8,8,1,"DESCRIPTIVE_ONLY","FTN Data via nflverse","0|1|2=RAW_NUMERIC_UNVERIFIED_SOURCE_CONFLICT|CHK=CHECKDOWN|DES=DESIGNED|SD=SCRAMBLE_DRILL"
2026,1,"BUF","HOU","00-0035689","5906","Dawson Knox","00-0034857","RAW_1",1,1,1,7,7,2,2,5,0.290546651929617,1,0,0,0,0,1,1,1,"DESCRIPTIVE_ONLY","FTN Data via nflverse","0|1|2=RAW_NUMERIC_UNVERIFIED_SOURCE_CONFLICT|CHK=CHECKDOWN|DES=DESIGNED|SD=SCRAMBLE_DRILL"
2026,1,"BUF","HOU","00-0036988","7670","Joshua Palmer","00-0034857","RAW_1",1,0.5,1,34,34,28,28,6,4.58720196667127,1,1,1,1,1,2,2,1,"DESCRIPTIVE_ONLY","FTN Data via nflverse","0|1|2=RAW_NUMERIC_UNVERIFIED_SOURCE_CONFLICT|CHK=CHECKDOWN|DES=DESIGNED|SD=SCRAMBLE_DRILL"
2026,1,"BUF","HOU","00-0036988","7670","Joshua Palmer","00-0034857","RAW_2",1,0.5,0,0,0,34,34,,-0.468293068814091,0,0,0,0,0,2,2,1,"DESCRIPTIVE_ONLY","FTN Data via nflverse","0|1|2=RAW_NUMERIC_UNVERIFIED_SOURCE_CONFLICT|CHK=CHECKDOWN|DES=DESIGNED|SD=SCRAMBLE_DRILL"
2026,1,"BUF","HOU","00-0037248","8138","James Cook","00-0034857","CHECKDOWN",3,0.75,2,6,2,-7,-2.33333333333333,11,-0.290797265130095,0,0.333333333333333,0,0,0,4,4,1,"DESCRIPTIVE_ONLY","FTN Data via nflverse","0|1|2=RAW_NUMERIC_UNVERIFIED_SOURCE_CONFLICT|CHK=CHECKDOWN|DES=DESIGNED|SD=SCRAMBLE_DRILL"
2026,1,"BUF","HOU","00-0037248","8138","James Cook","00-0034857","RAW_1",1,0.25,1,6,6,3,3,3,0.494017930468544,1,1,0,0,0,4,4,1,"DESCRIPTIVE_ONLY","FTN Data via nflverse","0|1|2=RAW_NUMERIC_UNVERIFIED_SOURCE_CONFLICT|CHK=CHECKDOWN|DES=DESIGNED|SD=SCRAMBLE_DRILL"
2026,1,"BUF","HOU","00-0037261","8134","Khalil Shakir","00-0034857","DESIGNED",2,0.333333333333333,2,5,2.5,-7,-3.5,12,-0.533447972286532,0,0,0,0,0,6,6,1,"DESCRIPTIVE_ONLY","FTN Data via nflverse","0|1|2=RAW_NUMERIC_UNVERIFIED_SOURCE_CONFLICT|CHK=CHECKDOWN|DES=DESIGNED|SD=SCRAMBLE_DRILL"
2026,1,"BUF","HOU","00-0037261","8134","Khalil Shakir","00-0034857","RAW_1",3,0.5,2,35,11.6666666666667,32,10.6666666666667,3,1.02099193844091,0.666666666666667,0.666666666666667,0.666666666666667,0,0,6,6,1,"DESCRIPTIVE_ONLY","FTN Data via nflverse","0|1|2=RAW_NUMERIC_UNVERIFIED_SOURCE_CONFLICT|CHK=CHECKDOWN|DES=DESIGNED|SD=SCRAMBLE_DRILL"
2026,1,"BUF","HOU","00-0037261","8134","Khalil Shakir","00-0034857","RAW_2",1,0.166666666666667,0,0,0,14,14,,-1.44686218143567,0,0,0,0,0,6,6,1,"DESCRIPTIVE_ONLY","FTN Data via nflverse","0|1|2=RAW_NUMERIC_UNVERIFIED_SOURCE_CONFLICT|CHK=CHECKDOWN|DES=DESIGNED|SD=SCRAMBLE_DRILL"
2026,1,"BUF","HOU","00-0038933","10236","Dalton Kincaid","00-0034857","RAW_1",4,0.666666666666667,3,81,20.25,49,12.25,38,1.26051516842563,0.5,0.5,0.5,0,0,6,6,1,"DESCRIPTIVE_ONLY","FTN Data via nflverse","0|1|2=RAW_NUMERIC_UNVERIFIED_SOURCE_CONFLICT|CHK=CHECKDOWN|DES=DESIGNED|SD=SCRAMBLE_DRILL"
