"season","through_week","feature","offense_team","defense_team","offense_rating","defense_rating","offense_percentile","defense_percentile","interaction_signal","predictive_status","confidence","output_class"
2026,3,"pass_epa_vs_pass_defense","ARI","NE",-0.0221,-0.0554,0.4194,0.871,0.2903,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","ARI","NO",-0.0221,-0.0499,0.4194,0.8065,0.2258,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","ARI","NYG",-0.0221,0.1191,0.4194,0.0645,-0.5161,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","ARI","NYJ",-0.0221,-0.0128,0.4194,0.5161,-0.0645,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","ARI","PHI",-0.0221,-0.026,0.4194,0.6129,0.0323,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","ARI","PIT",-0.0221,-0.0489,0.4194,0.7742,0.1935,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","ARI","SEA",-0.0221,-0.0544,0.4194,0.8387,0.2581,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","ARI","SF",-0.0221,3e-04,0.4194,0.4516,-0.129,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","ARI","TB",-0.0221,0.0628,0.4194,0.129,-0.4516,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","ARI","TEN",-0.0221,0.1358,0.4194,0.0323,-0.5484,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","ARI","WAS",-0.0221,0.1421,0.4194,0,-0.5806,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","ATL","ARI",-0.094,-0.0045,0.0323,0.4839,-0.4839,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","ATL","BAL",-0.094,-0.0455,0.0323,0.7419,-0.2258,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","ATL","BUF",-0.094,0.0313,0.0323,0.2258,-0.7419,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","ATL","CAR",-0.094,-0.021,0.0323,0.5484,-0.4194,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","ATL","CHI",-0.094,0.0114,0.0323,0.3871,-0.5806,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","ATL","CIN",-0.094,0.0527,0.0323,0.1935,-0.7742,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","ATL","CLE",-0.094,0.0291,0.0323,0.2903,-0.6774,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","ATL","DAL",-0.094,0.0603,0.0323,0.1613,-0.8065,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","ATL","DEN",-0.094,-0.0807,0.0323,0.9355,-0.0323,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","ATL","DET",-0.094,-0.0625,0.0323,0.9032,-0.0645,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","ATL","GB",-0.094,0.1058,0.0323,0.0968,-0.871,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","ATL","HOU",-0.094,-0.0291,0.0323,0.6452,-0.3226,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","ATL","IND",-0.094,0.008,0.0323,0.4194,-0.5484,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","ATL","JAX",-0.094,0.0188,0.0323,0.3548,-0.6129,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","ATL","KC",-0.094,-0.0219,0.0323,0.5806,-0.3871,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","ATL","LAC",-0.094,0.0295,0.0323,0.2581,-0.7097,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","ATL","LAR",-0.094,-0.142,0.0323,1,0.0323,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","ATL","LV",-0.094,-0.0323,0.0323,0.6774,-0.2903,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","ATL","MIA",-0.094,0.0291,0.0323,0.3226,-0.6452,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","ATL","MIN",-0.094,-0.1205,0.0323,0.9677,0,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","ATL","NE",-0.094,-0.0554,0.0323,0.871,-0.0968,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","ATL","NO",-0.094,-0.0499,0.0323,0.8065,-0.1613,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","ATL","NYG",-0.094,0.1191,0.0323,0.0645,-0.9032,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
