"season","week","game_id","gsis_id","sleeper_id","pfr_id","full_name","position","team","opponent","offensive_snaps","team_offensive_plays","snap_share_source","snap_share_derived","pass_play_personnel","team_pass_plays","route_participation","route_participation_definition","route_participation_reliability","targets","team_pass_att","target_share","receptions","air_yards","team_air_yards","air_yards_share","aDOT","targets_per_route_run","carries","team_rush_att","rush_share","position_group_rush_share","position_group_target_share","dropbacks","qb_scrambles","designed_rushes","red_zone_targets","red_zone_carries","inside_10_targets","inside_10_carries","goal_line_carries","end_zone_targets","team_rz_pass_att","team_rz_rush_att","rz_target_share","rz_carry_share","third_down_targets","third_down_carries","two_minute_targets","two_minute_carries","kick_returns","kick_return_yards","punt_returns","punt_return_yards","team_kick_returns","team_punt_returns","kick_return_opportunity_share","punt_return_opportunity_share","offense_domain_active","return_domain_active","team_offensive_plays_neutral_score_differential","overtime","prior_game_team","team_changed_since_prior_game"
2026,1,"2026_01_WAS_PHI","00-0036389","6904","HurtJa00","Jalen Hurts","QB","PHI","WAS",55,53,1,1.0377358490566,,34,,"pass_play_personnel_share","PROXY_PERSONNEL_PRESENCE",0,34,0,0,0,225,0,,,0,19,0,,,28,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,3,5,0,0,TRUE,FALSE,1.83018867924528,FALSE,,FALSE
2026,1,"2026_01_CLE_JAX","00-0036407","6783","JeudJe00","Jerry Jeudy","WR","CLE","JAX",32,51,0.63,0.627450980392157,,32,,"pass_play_personnel_share","PROXY_PERSONNEL_PRESENCE",4,32,0.125,2,40,228,0.175438596491228,10,,0,19,0,,0.307692307692308,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,2,0,0,0,0,0,6,2,0,0,TRUE,FALSE,-23.3529411764706,FALSE,,FALSE
2026,1,"2026_01_MIA_LV","00-0036409","6949","BrooJo01","Jordyn Brooks","LB","MIA","LV",0,55,0,0,,40,,"pass_play_personnel_share","UNRELIABLE_NON_ELIGIBLE_POSITION",0,40,0,0,0,309,0,,,0,15,0,,,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,5,1,0,0,FALSE,FALSE,-10.4545454545455,FALSE,,FALSE
2026,1,"2026_01_TB_CIN","00-0036410","6801","HiggTe00","Tee Higgins","WR","CIN","TB",46,63,0.72,0.73015873015873,,38,,"pass_play_personnel_share","PROXY_PERSONNEL_PRESENCE",6,38,0.157894736842105,3,117,226,0.517699115044248,19.5,,0,25,0,,0.428571428571429,0,0,0,0,0,0,0,0,0,7,8,0,0,1,0,0,0,0,0,0,0,6,,0,,TRUE,FALSE,8.85714285714286,FALSE,,FALSE
2026,1,"2026_01_TB_CIN","00-0036411","6888","WinfAn00","Antoine Winfield","DB","TB","CIN",0,56,0,0,,39,,"pass_play_personnel_share","UNRELIABLE_NON_ELIGIBLE_POSITION",0,39,0,0,0,143,0,,,0,17,0,,,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,7,1,0,0,FALSE,FALSE,-9.80357142857143,FALSE,,FALSE
2026,1,"2026_01_DEN_KC","00-0036416","6829","FultKr00","Kristian Fulton","DB","KC","DEN",0,66,0,0,,34,,"pass_play_personnel_share","UNRELIABLE_NON_ELIGIBLE_POSITION",0,34,0,0,0,133,0,,,0,32,0,,,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,0,0,3,4,0,0,FALSE,FALSE,6.83333333333333,FALSE,,FALSE
2026,1,"2026_01_WAS_PHI","00-0036418","6815","BaunZa00","Zack Baun","LB","PHI","WAS",0,53,0,0,,34,,"pass_play_personnel_share","UNRELIABLE_NON_ELIGIBLE_POSITION",0,34,0,0,0,225,0,,,0,19,0,,,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,3,5,0,0,FALSE,FALSE,1.83018867924528,FALSE,,FALSE
2026,1,"2026_01_NYJ_TEN","00-0036421","7036","BurgTe00","Terrell Burgess","DB","TEN","NYJ",0,50,0,0,,40,,"pass_play_personnel_share","UNRELIABLE_NON_ELIGIBLE_POSITION",0,40,0,0,0,190,0,,,0,10,0,,,0,0,0,0,0,0,0,0,0,3,0,0,,0,0,0,0,0,0,0,0,3,1,0,0,FALSE,FALSE,-12.58,FALSE,,FALSE
2026,1,"2026_01_DEN_KC","00-0036422","6869","TrauAd00","Adam Trautman","TE","DEN","KC",19,50,0.37,0.38,,35,,"pass_play_personnel_share","PROXY_PERSONNEL_PRESENCE",3,35,0.0857142857142857,2,-1,92,-0.0108695652173913,-0.333333333333333,,0,15,0,,0.375,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,5,3,0,0,TRUE,FALSE,-9.24,FALSE,,FALSE
2026,1,"2026_01_GB_MIN","00-0036425","6931","DallDe00","DeeJay Dallas","RB","MIN","GB",6,62,0.09,0.0967741935483871,,34,,"pass_play_personnel_share","PROXY_PERSONNEL_PRESENCE",1,34,0.0294117647058824,1,1,176,0.00568181818181818,1,,0,28,0,0,,0,0,0,0,0,0,0,0,0,7,8,0,0,1,0,0,0,0,0,0,0,5,1,0,0,TRUE,FALSE,-5.9516129032258,FALSE,,FALSE
