"gsis_id","depth_bin","field_third","targets","receptions","catch_rate","air_yards","yards_per_target","epa_per_target_raw","success_rate","td_rate","explosive_rate","first_down_rate","yac","targets_total","targets_charted","targets_uncharted","epa_overall","target_share_of_self","epa_per_target","evidence_class","output_class","window"
"00-0021192","SHORT","LEFT",12,8,0.666666666666667,5,5.66666666666667,0.356479453766951,0.666666666666667,0,0,0.583333333333333,4.125,29,29,0,0.122146806591487,0.413793103448276,0.161202247787398,"INSUFFICIENT","OBSERVED","career"
"00-0021192","SHORT","MIDDLE",4,2,0.5,5.5,4,0.491079593761242,0.5,0,0,0.25,3.5,29,29,0,0.122146806591487,0.137931034482759,0.145205105789597,"INSUFFICIENT","OBSERVED","career"
"00-0021192","SHORT","RIGHT",4,4,1,5,5,0.274999361412483,0.75,0,0,0.25,0,29,29,0,0.122146806591487,0.137931034482759,0.1317000912678,"INSUFFICIENT","OBSERVED","career"
"00-0021192","INTERMEDIATE","LEFT",1,0,0,10,0,-0.828044407302514,0,0,0,0,,29,29,0,0.122146806591487,0.0344827586206897,0.106569901445684,"INSUFFICIENT","OBSERVED","career"
"00-0021192","INTERMEDIATE","MIDDLE",3,1,0.333333333333333,15.3333333333333,5.33333333333333,-0.148668062504536,0.333333333333333,0,0.333333333333333,0.333333333333333,0,29,29,0,0.122146806591487,0.103448275862069,0.109250860444058,"INSUFFICIENT","OBSERVED","career"
"00-0021192","INTERMEDIATE","RIGHT",1,0,0,10,0,-1.44860484014102,0,0,0,0,,29,29,0,0.122146806591487,0.0344827586206897,0.0963967795958724,"INSUFFICIENT","OBSERVED","career"
"00-0021192","DEEP","LEFT",1,0,0,34,0,-0.421800246927887,0,0,0,0,,29,29,0,0.122146806591487,0.0344827586206897,0.113229641779694,"INSUFFICIENT","OBSERVED","career"
"00-0021192","DEEP","MIDDLE",2,1,0.5,28,12.5,1.25452309212415,0.5,0,0.5,0.5,4,29,29,0,0.122146806591487,0.0689655172413793,0.158675073866734,"INSUFFICIENT","OBSERVED","career"
"00-0021192","DEEP","RIGHT",1,0,0,23,0,-3.16440437710844,0,0,0,0,,29,29,0,0.122146806591487,0.0344827586206897,0.0682689183341115,"INSUFFICIENT","OBSERVED","career"
"00-0021547","BEHIND_LOS","LEFT",8,4,0.5,-2.875,2.75,-0.159708021885308,0.25,0,0,0.125,7.75,566,566,0,0.254798626941574,0.0141342756183746,0.206033138844294,"INSUFFICIENT","OBSERVED","career"
"00-0021547","BEHIND_LOS","MIDDLE",2,2,1,-1,6.5,-0.305384296731799,0.5,0,0,0.5,7.5,566,566,0,0.254798626941574,0.00353356890459364,0.236728210048885,"INSUFFICIENT","OBSERVED","career"
"00-0021547","BEHIND_LOS","RIGHT",8,6,0.75,-3.5,5,-0.00419691353454255,0.375,0,0,0.375,9.16666666666667,566,566,0,0.254798626941574,0.0141342756183746,0.224328563356148,"INSUFFICIENT","OBSERVED","career"
"00-0021547","SHORT","LEFT",95,73,0.768421052631579,3.87368421052632,5.88421052631579,0.118190854579017,0.536842105263158,0.126315789473684,0.0631578947368421,0.4,3.80821917808219,566,566,0,0.254798626941574,0.167844522968198,0.17107128259033,"MODERATE","OBSERVED","career"
"00-0021547","SHORT","MIDDLE",149,109,0.731543624161074,4.95973154362416,5.85906040268456,0.13052247168117,0.610738255033557,0.0335570469798658,0.0335570469798658,0.295302013422819,3.07339449541284,566,566,0,0.254798626941574,0.263250883392226,0.166199836827697,"STRONG","OBSERVED","career"
"00-0021547","SHORT","RIGHT",87,55,0.632183908045977,4.28735632183908,6.01149425287356,0.208644458610584,0.551724137931034,0.0459770114942529,0.0459770114942529,0.367816091954023,4.98181818181818,566,566,0,0.254798626941574,0.153710247349823,0.227482894664049,"MODERATE","OBSERVED","career"
"00-0021547","INTERMEDIATE","LEFT",60,35,0.583333333333333,13.1,10.1833333333333,0.54305484865275,0.566666666666667,0.15,0.233333333333333,0.533333333333333,4.14285714285714,566,566,0,0.254798626941574,0.106007067137809,0.398926737797162,"MODERATE","OBSERVED","career"
"00-0021547","INTERMEDIATE","MIDDLE",52,37,0.711538461538461,12.9615384615385,10.7115384615385,0.868230855026549,0.711538461538461,0.0576923076923077,0.269230769230769,0.673076923076923,2.10810810810811,566,566,0,0.254798626941574,0.0918727915194346,0.539606447123884,"MODERATE","OBSERVED","career"
"00-0021547","INTERMEDIATE","RIGHT",62,27,0.435483870967742,13.1451612903226,7.59677419354839,0.0807922022050066,0.419354838709677,0.0483870967741936,0.241935483870968,0.403225806451613,4,566,566,0,0.254798626941574,0.109540636042403,0.166369132403318,"MODERATE","OBSERVED","career"
"00-0021547","DEEP","LEFT",23,8,0.347826086956522,25.5652173913043,8.43478260869565,0.247660835960667,0.347826086956522,0.0434782608695652,0.347826086956522,0.347826086956522,1.625,566,566,0,0.254798626941574,0.0406360424028269,0.252820684862528,"WEAK","OBSERVED","career"
"00-0021547","DEEP","MIDDLE",10,4,0.4,30.1,14.7,1.05339428924607,0.4,0.2,0.4,0.4,8.5,566,566,0,0.254798626941574,0.0176678445229682,0.368883721556502,"INSUFFICIENT","OBSERVED","career"
"00-0021547","DEEP","RIGHT",10,2,0.2,23.7,4.8,-0.166057047568029,0.2,0.1,0.2,0.2,1.5,566,566,0,0.254798626941574,0.0176678445229682,0.194676387725916,"INSUFFICIENT","OBSERVED","career"
