"gsis_id","bucket","plays","completion_pct","epa_per_play","success_rate","air_yards","yac","explosive_rate","sack_rate","scramble_rate","turnover_rate","td_rate","time_to_throw","n_opp","coverage_rate_pressure","evidence_class","availability","source","family","window"
"00-0036971","CLEAN",1957,0.679611650485437,0.191124099671473,0.524271844660194,7.76136944302505,4.91804511278196,0.137966274910577,0,0,0.0199284619315278,0.0378129790495657,2.41279354508197,30,0.97845142439737,"STRONG","PRIOR_ONLY","participation","qb_pressure","career"
"00-0036971","PRESSURED",722,0.414127423822714,-0.32150200021092,0.322714681440443,9.54140127388535,4.60200668896321,0.114958448753463,0.130193905817174,0,0.0263157894736843,0.0332409972299169,3.20197784810127,29,0.97845142439737,"STRONG","PRIOR_ONLY","participation","qb_pressure","career"
"00-0036972","CLEAN",1452,0.714187327823692,0.160359574880884,0.502754820936639,7.15840220385675,5.08486017357763,0.130853994490358,0,0,0.0227272727272727,0.0351239669421488,2.42323622589532,26,0.968479918657855,"STRONG","PRIOR_ONLY","participation","qb_pressure","career"
"00-0036972","PRESSURED",453,0.439293598233996,-0.351310922428411,0.324503311258278,9.18952618453865,4.97989949748744,0.103752759381898,0.114790286975717,0,0.0375275938189846,0.0353200883002207,3.16039401496259,26,0.968479918657855,"STRONG","PRIOR_ONLY","participation","qb_pressure","career"
"00-0037012","CLEAN",142,0.605633802816901,-0.0143324281860891,0.422535211267606,8.41549295774648,6.09302325581395,0.140845070422535,0,0,0.0211267605633803,0.0352112676056338,2.47684507042254,10,0.971698113207547,"MODERATE","PRIOR_ONLY","participation","qb_pressure","career"
"00-0037012","PRESSURED",64,0.34375,-0.587535889784553,0.21875,8.81481481481481,4.45454545454546,0.078125,0.15625,0,0.03125,0,3.7252962962963,8,0.971698113207547,"WEAK","PRIOR_ONLY","participation","qb_pressure","career"
"00-0037013","CLEAN",709,0.65867418899859,0.0853212247536806,0.465444287729196,7.14245416078985,5.38329764453962,0.128349788434415,0,0,0.0225669957686883,0.0267983074753174,2.54445557122708,21,0.939802336028751,"STRONG","PRIOR_ONLY","participation","qb_pressure","career"
"00-0037013","PRESSURED",337,0.311572700296736,-0.555077691784451,0.234421364985163,9.42611683848797,4.84761904761905,0.0801186943620178,0.136498516320475,0,0.0267062314540059,0.0118694362017804,3.81741924398625,21,0.939802336028751,"STRONG","PRIOR_ONLY","participation","qb_pressure","career"
"00-0037077","CLEAN",491,0.678207739307536,0.0627176031595829,0.466395112016293,7.02443991853361,4.94894894894895,0.112016293279022,0,0,0.0162932790224032,0.0366598778004074,2.4682,15,0.99581589958159,"STRONG","PRIOR_ONLY","participation","qb_pressure","career"
"00-0037077","PRESSURED",223,0.318385650224215,-0.760154723989933,0.251121076233184,8.97402597402597,6.38028169014085,0.116591928251121,0.309417040358744,0,0.0672645739910314,0.0179372197309417,3.27751655629139,15,0.99581589958159,"STRONG","PRIOR_ONLY","participation","qb_pressure","career"
"00-0037327","CLEAN",74,0.675675675675676,-0.0519175351388455,0.378378378378378,7.31081081081081,3.6,0.135135135135135,0,0,0.027027027027027,0.0135135135135135,2.53328378378378,8,0.96,"MODERATE","PRIOR_ONLY","participation","qb_pressure","career"
"00-0037327","PRESSURED",70,0.442857142857143,-0.427892213445231,0.314285714285714,7.375,3.64516129032258,0.0857142857142857,0.0857142857142857,0,0.0142857142857143,0,3.339171875,6,0.96,"MODERATE","PRIOR_ONLY","participation","qb_pressure","career"
"00-0037834","CLEAN",992,0.723790322580645,0.436199118334597,0.59375,8.04435483870968,5.85793871866295,0.200604838709677,0,0,0.0241935483870968,0.0614919354838709,2.55050454086781,25,0.992286115007013,"STRONG","PRIOR_ONLY","participation","qb_pressure","career"
"00-0037834","PRESSURED",423,0.475177304964539,-0.234399564683657,0.354609929078014,8.03682719546742,4.90049751243781,0.113475177304965,0.16548463356974,0,0.0307328605200946,0.0543735224586289,3.51921937321937,25,0.992286115007013,"STRONG","PRIOR_ONLY","participation","qb_pressure","career"
"00-0038102","CLEAN",572,0.671328671328671,0.0560169251677966,0.468531468531469,7.23601398601398,4.46354166666667,0.0979020979020979,0,0,0.0192307692307693,0.013986013986014,2.56037785588752,24,0.968568102444703,"STRONG","PRIOR_ONLY","participation","qb_pressure","career"
"00-0038102","PRESSURED",260,0.442307692307693,-0.268744206504505,0.303846153846154,7.62222222222222,4.21739130434782,0.0807692307692308,0.134615384615384,0,0.0192307692307693,0.0307692307692308,3.3402972972973,24,0.968568102444703,"STRONG","PRIOR_ONLY","participation","qb_pressure","career"
"00-0038108","CLEAN",269,0.635687732342007,-0.0865694052442885,0.394052044609665,7.68401486988848,5.28070175438596,0.130111524163569,0,0,0.0446096654275093,0.0408921933085502,2.45335714285714,15,0.983606557377049,"STRONG","PRIOR_ONLY","participation","qb_pressure","career"
"00-0038108","PRESSURED",91,0.406593406593407,-0.639175482416277,0.296703296703297,7.09230769230769,5.91891891891892,0.131868131868132,0.285714285714286,0,0.021978021978022,0.010989010989011,3.56226153846154,14,0.983606557377049,"MODERATE","PRIOR_ONLY","participation","qb_pressure","career"
