"gsis_id","bucket","plays","completion_pct","epa_per_play","success_rate","air_yards","yac","explosive_rate","sack_rate","scramble_rate","turnover_rate","td_rate","time_to_throw","n_opp","deep_share","behind_los_share","read_share","evidence_class","availability","source","family","window"
"00-0033949","SECOND_READ",68,0.573529411764706,0.0610486560419569,0.441176470588235,9.48529411764706,3.84615384615385,0.132352941176471,0,0,0.0294117647058823,0.0294117647058824,2.80997058823529,12,0.161764705882353,0.102941176470588,0.119718309859155,"MODERATE","DESCRIPTIVE_ONLY","ftn","qb_progression","career"
"00-0033958","CHECKDOWN",3,0.666666666666667,-0.381526688172016,0,1.66666666666667,3.5,0,0,0,0,0,2.96266666666667,2,0,0,0.130434782608696,"INSUFFICIENT","DESCRIPTIVE_ONLY","ftn","qb_progression","career"
"00-0033958","DESIGNED",2,0.5,-0.837311080074869,0,-4,3,0,0,0,0,0,1.9065,1,0,1,0.0869565217391304,"INSUFFICIENT","DESCRIPTIVE_ONLY","ftn","qb_progression","career"
"00-0033958","FIRST_READ",15,0.6,-0.072250899055507,0.4,12.6666666666667,2.88888888888889,0.133333333333333,0,0,0,0,2.72633333333333,3,0.266666666666667,0,0.652173913043478,"WEAK","DESCRIPTIVE_ONLY","ftn","qb_progression","career"
"00-0033958","SCRAMBLE_DRILL",3,0.333333333333333,0.53225743107032,0.333333333333333,26.5,8,0,0.333333333333333,0,0.333333333333333,0.333333333333333,5.27333333333333,3,0.5,0,0.130434782608696,"INSUFFICIENT","DESCRIPTIVE_ONLY","ftn","qb_progression","career"
"00-0034177","CHECKDOWN",29,0.655172413793103,-0.233343311340612,0.344827586206897,0.517241379310345,5.8421052631579,0,0,0,0,0,2.47085714285714,6,0,0.413793103448276,0.2,"WEAK","DESCRIPTIVE_ONLY","ftn","qb_progression","career"
"00-0034177","DESIGNED",15,0.933333333333333,-0.0737739659496583,0.2,-3.6,9.64285714285714,0.133333333333333,0,0,0,0,1.35566666666667,7,0,1,0.103448275862069,"WEAK","DESCRIPTIVE_ONLY","ftn","qb_progression","career"
"00-0034177","FIRST_READ",77,0.545454545454545,-0.207476324264636,0.376623376623377,10.3246753246753,2.85714285714286,0.103896103896104,0,0,0.0779220779220779,0.025974025974026,2.19741558441558,7,0.181818181818182,0.012987012987013,0.531034482758621,"MODERATE","DESCRIPTIVE_ONLY","ftn","qb_progression","career"
"00-0034177","PRE_SNAP_OR_ZERO",17,0.0588235294117647,-1.24043304889518,0,0.833333333333333,6,0,0.647058823529412,0,0,0,2.86666666666667,6,0,0.333333333333333,0.117241379310345,"WEAK","DESCRIPTIVE_ONLY","ftn","qb_progression","career"
"00-0034177","SCRAMBLE_DRILL",3,0,-1.61153715635495,0,20,,0,0,0,0,0,4.96666666666667,3,0.666666666666667,0,0.0206896551724138,"INSUFFICIENT","DESCRIPTIVE_ONLY","ftn","qb_progression","career"
"00-0034177","SECOND_READ",4,0.25,-1.2608013979916,0.25,17.5,1,0,0,0,0.25,0,3.034,4,0.5,0,0.0275862068965517,"INSUFFICIENT","DESCRIPTIVE_ONLY","ftn","qb_progression","career"
"00-0034401","CHECKDOWN",29,0.586206896551724,-0.376106494971438,0.310344827586207,-0.0357142857142857,7.58823529411765,0.0344827586206897,0.0344827586206896,0,0,0,3.30217857142857,6,0,0.321428571428571,0.151041666666667,"WEAK","DESCRIPTIVE_ONLY","ftn","qb_progression","career"
"00-0034401","DESIGNED",14,0.785714285714286,-0.554235759252444,0.214285714285714,-3.92857142857143,8.36363636363636,0,0,0,0,0,1.75221428571429,6,0,0.857142857142857,0.0729166666666667,"INSUFFICIENT","DESCRIPTIVE_ONLY","ftn","qb_progression","career"
"00-0034401","FIRST_READ",98,0.612244897959184,0.248914519342802,0.530612244897959,10.3367346938776,4.73333333333333,0.153061224489796,0,0,0.0102040816326531,0.0408163265306122,2.50782653061224,6,0.122448979591837,0.0510204081632653,0.510416666666667,"MODERATE","DESCRIPTIVE_ONLY","ftn","qb_progression","career"
"00-0034401","PRE_SNAP_OR_ZERO",2,0,-1.3130248428497,0,4,,0,0,0,0,0,2.65,1,0,0.5,0.0104166666666667,"INSUFFICIENT","DESCRIPTIVE_ONLY","ftn","qb_progression","career"
"00-0034401","SCRAMBLE_DRILL",4,0.25,-0.373392863257322,0.25,7,6,0,0,0,0,0,5.271,4,0,0,0.0208333333333333,"INSUFFICIENT","DESCRIPTIVE_ONLY","ftn","qb_progression","career"
"00-0034401","SECOND_READ",45,0.488888888888889,-0.288542936413517,0.355555555555556,9.68888888888889,6.36363636363636,0.155555555555556,0,0,0.0888888888888889,0,3.02817777777778,6,0.0888888888888889,0.0888888888888889,0.234375,"MODERATE","DESCRIPTIVE_ONLY","ftn","qb_progression","career"
"00-0034577","CHECKDOWN",9,0.666666666666667,-0.869781076655878,0.333333333333333,1.44444444444444,6.33333333333333,0,0,0,0.111111111111111,0,2.94055555555556,2,0,0.111111111111111,0.111111111111111,"INSUFFICIENT","DESCRIPTIVE_ONLY","ftn","qb_progression","career"
"00-0034577","DESIGNED",12,0.833333333333333,-0.897005582160394,0.25,-2.75,6.5,0,0,0,0.0833333333333333,0,1.92983333333333,2,0,0.833333333333333,0.148148148148148,"INSUFFICIENT","DESCRIPTIVE_ONLY","ftn","qb_progression","career"
"00-0034577","FIRST_READ",50,0.5,-0.159911277595634,0.4,10.34,4,0.12,0,0,0.04,0.04,2.54072,4,0.16,0.04,0.617283950617284,"MODERATE","DESCRIPTIVE_ONLY","ftn","qb_progression","career"
"00-0034577","SCRAMBLE_DRILL",5,0.2,-0.0269576637540013,0.2,15.8,21,0.2,0,0,0,0,4.7306,2,0.2,0,0.0617283950617284,"INSUFFICIENT","DESCRIPTIVE_ONLY","ftn","qb_progression","career"
"00-0034577","SECOND_READ",5,1,-1.01490512887249,0.4,1.4,4.2,0,0,0,0,0,3.1212,1,0,0.4,0.0617283950617284,"INSUFFICIENT","DESCRIPTIVE_ONLY","ftn","qb_progression","career"
"00-0034771","CHECKDOWN",67,0.835820895522388,0.0452172987626238,0.492537313432836,0.53030303030303,7.23214285714286,0.119402985074627,0.0149253731343284,0,0.0298507462686567,0,2.82666666666667,11,0,0.318181818181818,0.181081081081081,"MODERATE","DESCRIPTIVE_ONLY","ftn","qb_progression","career"
"00-0034771","DESIGNED",31,0.870967741935484,-0.253178548770299,0.483870967741935,-3.96774193548387,8.62962962962963,0.0645161290322581,0,0,0,0,1.74064516129032,11,0,0.967741935483871,0.0837837837837838,"WEAK","DESCRIPTIVE_ONLY","ftn","qb_progression","career"
"00-0034771","FIRST_READ",185,0.675675675675676,0.259771709356257,0.551351351351351,9.97297297297297,4.648,0.156756756756757,0,0,0.0378378378378378,0.0540540540540541,2.31679347826087,11,0.12972972972973,0.0432432432432432,0.5,"STRONG","DESCRIPTIVE_ONLY","ftn","qb_progression","career"
"00-0034771","PRE_SNAP_OR_ZERO",34,0.0294117647058823,-1.24630673275649,0,5.35294117647059,18,0.0294117647058824,0.5,0,0,0,3.43,11,0,0.235294117647059,0.0918918918918919,"WEAK","DESCRIPTIVE_ONLY","ftn","qb_progression","career"
"00-0034771","SCRAMBLE_DRILL",16,0.25,-0.349072430915997,0.25,8.8,0,0,0.0625,0,0.0625,0.1875,4.70466666666667,7,0.2,0.0666666666666667,0.0432432432432432,"WEAK","DESCRIPTIVE_ONLY","ftn","qb_progression","career"
"00-0034771","SECOND_READ",37,0.702702702702703,0.314044857756323,0.594594594594595,11.9189189189189,4.11538461538462,0.189189189189189,0,0,0.027027027027027,0.027027027027027,2.77194444444444,10,0.189189189189189,0.027027027027027,0.1,"WEAK","DESCRIPTIVE_ONLY","ftn","qb_progression","career"
"00-0034796","CHECKDOWN",173,0.838150289017341,0.176836636798247,0.514450867052023,0.76878612716763,7.01379310344827,0.0867052023121387,0,0,0,0.0115606936416185,2.97735838150289,28,0,0.312138728323699,0.105810397553517,"STRONG","DESCRIPTIVE_ONLY","ftn","qb_progression","career"
"00-0034796","DESIGNED",167,0.868263473053892,-0.0520839292913002,0.425149700598802,-3.10778443113772,9.77931034482758,0.0898203592814371,0,0,0.00598802395209579,0.0239520958083832,1.75473053892216,28,0,0.922155688622755,0.102140672782875,"STRONG","DESCRIPTIVE_ONLY","ftn","qb_progression","career"
"00-0034796","FIRST_READ",747,0.668005354752343,0.452829087341377,0.582329317269076,11.4149933065596,4.76953907815631,0.214190093708166,0,0,0.0214190093708166,0.0776439089692101,2.39415549597855,28,0.168674698795181,0.0428380187416332,0.456880733944954,"STRONG","DESCRIPTIVE_ONLY","ftn","qb_progression","career"
"00-0034796","PRE_SNAP_OR_ZERO",145,0.117241379310345,-1.20636277798846,0.117241379310345,4.67307692307692,8.23529411764706,0.0413793103448276,0.641379310344827,0,0,0.0344827586206896,3.47903846153846,24,0.0384615384615385,0.288461538461538,0.0886850152905199,"STRONG","DESCRIPTIVE_ONLY","ftn","qb_progression","career"
"00-0034796","SCRAMBLE_DRILL",190,0.436842105263158,0.115722632119214,0.4,12.572192513369,4.98795180722892,0.189473684210526,0.0157894736842105,0,0.0157894736842105,0.0894736842105263,5.24782258064516,28,0.213903743315508,0.0481283422459893,0.116207951070336,"STRONG","DESCRIPTIVE_ONLY","ftn","qb_progression","career"
"00-0034796","SECOND_READ",213,0.605633802816901,0.291029394095277,0.539906103286385,11.9389671361502,3.89147286821705,0.183098591549296,0,0,0.0234741784037559,0.0798122065727699,3.04919248826291,25,0.197183098591549,0.0140845070422535,0.130275229357798,"STRONG","DESCRIPTIVE_ONLY","ftn","qb_progression","career"
"00-0034855","CHECKDOWN",267,0.835205992509363,-0.0639886662618237,0.423220973782772,0.280898876404495,7.15695067264574,0.0636704119850187,0,0,0.0112359550561798,0.0149812734082397,2.92526691729323,29,0,0.397003745318352,0.125706214689266,"STRONG","DESCRIPTIVE_ONLY","ftn","qb_progression","career"
"00-0034855","DESIGNED",239,0.899581589958159,0.117390443447561,0.468619246861925,-3.12970711297071,10.093023255814,0.100418410041841,0,0,0.00418410041841004,0.0376569037656903,1.65582426778243,29,0.00418410041841004,0.895397489539749,0.112523540489642,"STRONG","DESCRIPTIVE_ONLY","ftn","qb_progression","career"
"00-0034855","FIRST_READ",1061,0.616399622997173,0.242207638401065,0.519321394910462,11.0933081998115,3.79816513761468,0.175306314797361,0,0,0.0301602262016965,0.061262959472196,2.32880207351555,30,0.156456173421301,0.0452403393025448,0.499529190207156,"STRONG","DESCRIPTIVE_ONLY","ftn","qb_progression","career"
"00-0034855","OTHER",1,0,-0.897498428821564,0,4,,0,0,0,0,0,5.272,1,0,0,0.000470809792843691,"INSUFFICIENT","DESCRIPTIVE_ONLY","ftn","qb_progression","career"
"00-0034855","PRE_SNAP_OR_ZERO",190,0.163157894736842,-1.07477303609866,0.147368421052632,6.775,6.70967741935484,0.0421052631578947,0.578947368421052,0,0.0157894736842105,0.0157894736842105,2.99897435897436,27,0.1625,0.2625,0.0894538606403013,"STRONG","DESCRIPTIVE_ONLY","ftn","qb_progression","career"
"00-0034855","SCRAMBLE_DRILL",134,0.447761194029851,0.0433564762128155,0.395522388059702,9.8359375,4.61666666666667,0.141791044776119,0.0447761194029851,0,0.0223880597014925,0.0447761194029851,4.82923015873016,26,0.109375,0.0390625,0.0630885122410546,"STRONG","DESCRIPTIVE_ONLY","ftn","qb_progression","career"
"00-0034855","SECOND_READ",232,0.568965517241379,0.360881000967609,0.461206896551724,11.125,5.12121212121212,0.202586206896552,0,0,0.0129310344827586,0.0775862068965517,3.08814655172414,26,0.168103448275862,0.0387931034482759,0.109227871939736,"STRONG","DESCRIPTIVE_ONLY","ftn","qb_progression","career"
"00-0034857","CHECKDOWN",270,0.822222222222222,0.0842277002485729,0.507407407407407,0.437037037037037,6.75675675675676,0.0703703703703704,0,0,0.0074074074074074,0.0111111111111111,2.86565185185185,31,0,0.348148148148148,0.125231910946197,"STRONG","DESCRIPTIVE_ONLY","ftn","qb_progression","career"
"00-0034857","DESIGNED",208,0.831730769230769,0.111263058452708,0.471153846153846,-2.14903846153846,9.54913294797687,0.0721153846153846,0,0,0,0.0336538461538461,1.38382608695652,29,0.00480769230769231,0.855769230769231,0.0964749536178108,"STRONG","DESCRIPTIVE_ONLY","ftn","qb_progression","career"
"00-0034857","FIRST_READ",1011,0.666666666666667,0.329463898006733,0.550939663699308,9.57863501483679,4.61275964391691,0.176063303659743,0,0,0.0217606330365974,0.063303659742829,2.30802081268583,31,0.147378832838773,0.0633036597428289,0.468923933209647,"STRONG","DESCRIPTIVE_ONLY","ftn","qb_progression","career"
"00-0034857","PRE_SNAP_OR_ZERO",96,0.0104166666666667,-1.4081364763957,0.03125,8.47826086956522,1,0,0.760416666666667,0,0,0,4.31416666666667,22,0.173913043478261,0.304347826086957,0.0445269016697588,"MODERATE","DESCRIPTIVE_ONLY","ftn","qb_progression","career"
"00-0034857","SCRAMBLE_DRILL",282,0.457446808510638,0.297118428335729,0.429078014184397,14.9530685920578,3.78294573643411,0.212765957446809,0.0177304964539007,0,0.0354609929078014,0.0921985815602837,4.91542391304348,31,0.259927797833935,0.036101083032491,0.130797773654917,"STRONG","DESCRIPTIVE_ONLY","ftn","qb_progression","career"
"00-0034857","SECOND_READ",289,0.588235294117647,0.292641161492044,0.525951557093426,13.4463667820069,4.14117647058824,0.204152249134948,0,0,0.0484429065743945,0.0588235294117647,3.09430103806228,30,0.207612456747405,0.013840830449827,0.13404452690167,"STRONG","DESCRIPTIVE_ONLY","ftn","qb_progression","career"
"00-0034869","CHECKDOWN",145,0.855172413793103,0.0913017736287662,0.537931034482759,1.61379310344828,5.91129032258065,0.0551724137931034,0,0,0,0,3.05829861111111,22,0.00689655172413793,0.227586206896552,0.11328125,"STRONG","DESCRIPTIVE_ONLY","ftn","qb_progression","career"
"00-0034869","DESIGNED",118,0.88135593220339,-0.0900871842508233,0.423728813559322,-3.46153846153846,9.50961538461538,0.0508474576271186,0.00847457627118645,0,0,0.0169491525423729,1.78269230769231,22,0,0.931623931623932,0.0921875,"MODERATE","DESCRIPTIVE_ONLY","ftn","qb_progression","career"
"00-0034869","FIRST_READ",662,0.666163141993958,0.434019844266607,0.601208459214501,11.4320241691843,4.41496598639456,0.223564954682779,0,0,0.0332326283987915,0.0740181268882176,2.55265,22,0.18429003021148,0.040785498489426,0.5171875,"STRONG","DESCRIPTIVE_ONLY","ftn","qb_progression","career"
