"gsis_id","depth_bin","field_third","attempts","completions","completion_pct","air_yards","yards_per_attempt","epa_per_attempt_raw","success_rate","td_rate","int_rate","explosive_rate","first_down_rate","yac","attempts_total","attempts_charted","attempts_uncharted","epa_overall","attempt_share","epa_per_attempt","evidence_class","output_class","window"
"00-0021206","BEHIND_LOS","MIDDLE",11,8,0.727272727272727,-3,4.09090909090909,-0.23298986494774,0.272727272727273,0,0,0.0909090909090909,0.272727272727273,7.875,1509,1506,3,0.162134531574072,0.00730411686586985,0.100918075774918,"INSUFFICIENT","OBSERVED","career"
"00-0021206","BEHIND_LOS","RIGHT",104,85,0.817307692307692,-3.17307692307692,6.11538461538462,0.184000713701566,0.480769230769231,0.0192307692307692,0,0.153846153846154,0.288461538461538,10.6588235294118,1509,1506,3,0.162134531574072,0.0690571049136786,0.176000890971995,"STRONG","OBSERVED","career"
"00-0021206","SHORT","LEFT",295,197,0.667796610169492,4.27118644067797,5.29491525423729,0.0156620712763695,0.457627118644068,0.0203389830508475,0.0203389830508475,0.0440677966101695,0.271186440677966,3.80710659898477,1509,1506,3,0.162134531574072,0.195883134130146,0.0404179800590798,"STRONG","OBSERVED","career"
"00-0021206","SHORT","MIDDLE",196,139,0.709183673469388,4.97448979591837,6.79591836734694,0.112225491808503,0.525510204081633,0.0255102040816327,0.0204081632653061,0.0612244897959184,0.321428571428572,4.48201438848921,1509,1506,3,0.162134531574072,0.130146082337317,0.123922923003558,"STRONG","OBSERVED","career"
"00-0021206","SHORT","RIGHT",293,188,0.641638225255973,4.16723549488055,5.06143344709897,-0.0202760688292088,0.501706484641638,0.0409556313993174,0.0170648464163822,0.0443686006825939,0.283276450511945,3.98936170212766,1509,1506,3,0.162134531574072,0.194555112881806,0.010728565800244,"STRONG","OBSERVED","career"
"00-0021206","INTERMEDIATE","LEFT",100,49,0.49,13.56,7.8,0.25603705440128,0.48,0.04,0.04,0.24,0.47,2.6530612244898,1509,1506,3,0.162134531574072,0.0664010624169987,0.220823608341077,"STRONG","OBSERVED","career"
"00-0021206","INTERMEDIATE","MIDDLE",102,68,0.666666666666667,13.6862745098039,11.656862745098,0.814612490816111,0.676470588235294,0.0686274509803921,0.00980392156862746,0.382352941176471,0.61764705882353,3.70588235294118,1509,1506,3,0.162134531574072,0.0677290836653386,0.572953987393134,"STRONG","OBSERVED","career"
"00-0021206","INTERMEDIATE","RIGHT",131,70,0.534351145038168,13.8473282442748,9.19083969465649,0.313085580395998,0.488549618320611,0.0381679389312977,0.0305343511450381,0.251908396946565,0.465648854961832,3.58571428571429,1509,1506,3,0.162134531574072,0.0869853917662683,0.265666402755602,"STRONG","OBSERVED","career"
"00-0021206","DEEP","LEFT",74,25,0.337837837837838,30.8783783783784,12.0405405405405,0.557710761799361,0.351351351351351,0.121621621621622,0.0675675675675676,0.337837837837838,0.337837837837838,5.44,1509,1506,3,0.162134531574072,0.049136786188579,0.380587076623858,"MODERATE","OBSERVED","career"
"00-0021206","DEEP","MIDDLE",24,10,0.416666666666667,28.625,14.0833333333333,0.550383697893267,0.416666666666667,0,0.166666666666667,0.416666666666667,0.416666666666667,3.9,1509,1506,3,0.162134531574072,0.0159362549800797,0.273062864808127,"WEAK","OBSERVED","career"
"00-0021206","DEEP","RIGHT",83,25,0.301204819277108,29.8674698795181,10.421686746988,0.383809622712157,0.289156626506024,0.120481927710843,0.0481927710843373,0.301204819277108,0.301204819277108,4.12,1509,1506,3,0.162134531574072,0.0551128818061089,0.290799094961912,"MODERATE","OBSERVED","career"
"00-0021429","BEHIND_LOS","LEFT",145,130,0.896551724137931,-2.86896551724138,6.24827586206897,0.0807521185854606,0.524137931034483,0.0206896551724138,0.0206896551724138,0.0689655172413793,0.296551724137931,9.71538461538462,2749,2747,2,0.176684123451313,0.052784856206771,0.108829778546198,"STRONG","OBSERVED","career"
"00-0021429","BEHIND_LOS","MIDDLE",24,17,0.708333333333333,-2.70833333333333,3.08333333333333,-0.434399026965101,0.25,0.0416666666666667,0.0416666666666667,0,0.166666666666667,7.11764705882353,2749,2747,2,0.176684123451313,0.00873680378594831,0.0020889376180519,"WEAK","OBSERVED","career"
"00-0021429","BEHIND_LOS","RIGHT",151,127,0.841059602649007,-3.12582781456954,5.28476821192053,-0.0234617251113332,0.397350993377483,0.0198675496688742,0,0.0662251655629139,0.178807947019868,9.20472440944882,2749,2747,2,0.176684123451313,0.0549690571532581,0.0334517863282819,"STRONG","OBSERVED","career"
"00-0021429","SHORT","LEFT",412,271,0.657766990291262,4.31553398058252,5.53883495145631,0.0488743260142182,0.475728155339806,0.0461165048543689,0.00970873786407767,0.058252427184466,0.33252427184466,4.59040590405904,2749,2747,2,0.176684123451313,0.149981798325446,0.0651213341630015,"STRONG","OBSERVED","career"
"00-0021429","SHORT","MIDDLE",411,289,0.70316301703163,4.58637469586375,6.25060827250608,0.0641055362966173,0.530413625304136,0.0462287104622871,0.0218978102189781,0.0632603406326034,0.333333333333333,4.34602076124568,2749,2747,2,0.176684123451313,0.149617764834365,0.0784467575902091,"STRONG","OBSERVED","career"
"00-0021429","SHORT","RIGHT",467,317,0.678800856531049,4.37687366167024,6.20770877944326,0.0981403373727647,0.498929336188437,0.0449678800856532,0.0107066381156316,0.0578158458244111,0.306209850107066,4.97476340694006,2749,2747,2,0.176684123451313,0.170003640334911,0.107082703909222,"STRONG","OBSERVED","career"
"00-0021429","INTERMEDIATE","LEFT",268,145,0.541044776119403,13.4701492537313,8.60074626865672,0.317514355212022,0.533582089552239,0.0298507462686567,0.0223880597014926,0.208955223880597,0.503731343283582,2.71724137931034,2749,2747,2,0.176684123451313,0.0975609756097561,0.291752727450917,"STRONG","OBSERVED","career"
"00-0021429","INTERMEDIATE","MIDDLE",235,157,0.668085106382979,14.1617021276596,12.1957446808511,0.584103540358169,0.651063829787234,0.0680851063829787,0.0468085106382979,0.395744680851064,0.617021276595745,4.19108280254777,2749,2747,2,0.176684123451313,0.0855478704040772,0.501238574207622,"STRONG","OBSERVED","career"
"00-0021429","INTERMEDIATE","RIGHT",283,157,0.554770318021201,13.6042402826855,8.56890459363958,0.370812617495587,0.547703180212014,0.0353356890459364,0.0212014134275618,0.226148409893993,0.498233215547703,1.88535031847134,2749,2747,2,0.176684123451313,0.103021477975974,0.336854280344985,"STRONG","OBSERVED","career"
"00-0021429","DEEP","LEFT",129,44,0.34108527131783,28.4108527131783,10.7906976744186,0.322059610233216,0.34108527131783,0.0697674418604651,0.0852713178294574,0.341085271317829,0.34108527131783,4.45454545454546,2749,2747,2,0.176684123451313,0.0469603203494722,0.275908662048485,"STRONG","OBSERVED","career"
"00-0021429","DEEP","MIDDLE",88,25,0.284090909090909,32.6818181818182,10.1477272727273,-0.0382730860299825,0.284090909090909,0.0795454545454545,0.113636363636364,0.284090909090909,0.284090909090909,5.52,2749,2747,2,0.176684123451313,0.0320349472151438,0.0488717286245968,"MODERATE","OBSERVED","career"
"00-0021429","DEEP","RIGHT",134,39,0.291044776119403,28.7238805970149,10.3805970149254,0.247898692449742,0.283582089552239,0.082089552238806,0.0373134328358209,0.291044776119403,0.283582089552239,8.15384615384615,2749,2747,2,0.176684123451313,0.048780487804878,0.225873568017239,"STRONG","OBSERVED","career"
"00-0021678","BEHIND_LOS","LEFT",81,72,0.888888888888889,-2.69135802469136,5.60493827160494,0.0100901990819923,0.469135802469136,0.0493827160493827,0.0246913580246913,0.0617283950617284,0.259259259259259,8.91666666666667,1738,1738,0,0.234681425672279,0.0466052934407365,0.105660933801263,"MODERATE","OBSERVED","career"
"00-0021678","BEHIND_LOS","MIDDLE",16,13,0.8125,-2.875,4.1875,-0.144495643791743,0.3125,0.0625,0,0.0625,0.1875,7.69230769230769,1738,1738,0,0.234681425672279,0.00920598388952819,0.154854674206169,"WEAK","OBSERVED","career"
"00-0021678","BEHIND_LOS","RIGHT",96,76,0.791666666666667,-3.11458333333333,4.86458333333333,0.00372677985891246,0.427083333333333,0.0104166666666667,0,0.09375,0.229166666666667,9.26315789473684,1738,1738,0,0.234681425672279,0.0552359033371692,0.0925554897871303,"MODERATE","OBSERVED","career"
