"gsis_id","bucket","plays","completion_pct","epa_per_play","success_rate","air_yards","yac","explosive_rate","sack_rate","scramble_rate","turnover_rate","td_rate","time_to_throw","n_opp","rusher_share","evidence_class","availability","source","family","note","window"
"00-0023645","FIVE",20,0.55,-0.586844917490089,0.55,8.31578947368421,4.09090909090909,0.15,0.05,0,0.1,0,2.71842105263158,3,0.147058823529412,"INSUFFICIENT","PRIOR_ONLY","participation","qb_rusher_count","5+ = blitz PROXY (rusher count, not charted blitzer identity)","career"
"00-0023645","FOUR",102,0.607843137254902,-0.395197801365089,0.441176470588235,8.95959595959596,3.33870967741936,0.147058823529412,0.0294117647058824,0,0.0686274509803922,0.00980392156862746,2.58493939393939,7,0.75,"MODERATE","PRIOR_ONLY","participation","qb_rusher_count","5+ = blitz PROXY (rusher count, not charted blitzer identity)","career"
"00-0023645","LT4",3,0.666666666666667,2.07292922062334,0.666666666666667,21.6666666666667,12.5,0.333333333333333,0,0,0,0.333333333333333,3.10333333333333,2,0.0220588235294118,"INSUFFICIENT","PRIOR_ONLY","participation","qb_rusher_count","5+ = blitz PROXY (rusher count, not charted blitzer identity)","career"
"00-0023645","SIXPLUS",11,0.454545454545455,-0.411928374142243,0.272727272727273,5.8,12.8,0.0909090909090909,0.0909090909090909,0,0,0,2.3511,3,0.0808823529411765,"INSUFFICIENT","PRIOR_ONLY","participation","qb_rusher_count","5+ = blitz PROXY (rusher count, not charted blitzer identity)","career"
"00-0023662","FIVE",31,0.451612903225806,-0.874484423628723,0.290322580645161,6.16,2.07142857142857,0,0.193548387096774,0,0.0645161290322581,0.032258064516129,2.44804,4,0.254098360655738,"WEAK","PRIOR_ONLY","participation","qb_rusher_count","5+ = blitz PROXY (rusher count, not charted blitzer identity)","career"
"00-0023662","FOUR",71,0.605633802816901,-0.28534952793652,0.394366197183099,7.8030303030303,2.6046511627907,0.0422535211267606,0.0704225352112676,0,0.0281690140845071,0.0140845070422535,2.61616666666667,5,0.581967213114754,"MODERATE","PRIOR_ONLY","participation","qb_rusher_count","5+ = blitz PROXY (rusher count, not charted blitzer identity)","career"
"00-0023662","LT4",5,0.6,0.453907151194289,0.6,5.8,0.666666666666667,0,0,0,0,0.2,2.5448,3,0.040983606557377,"INSUFFICIENT","PRIOR_ONLY","participation","qb_rusher_count","5+ = blitz PROXY (rusher count, not charted blitzer identity)","career"
"00-0023662","SIXPLUS",15,0.133333333333333,-1.28964989654487,0.133333333333333,11.3333333333333,0.5,0.0666666666666667,0.2,0,0.0666666666666667,0,2.69575,5,0.122950819672131,"INSUFFICIENT","PRIOR_ONLY","participation","qb_rusher_count","5+ = blitz PROXY (rusher count, not charted blitzer identity)","career"
"00-0023682","FIVE",367,0.539509536784741,-0.021839723264219,0.449591280653951,9.64094955489615,3.81818181818182,0.158038147138965,0.0817438692098092,0,0.0354223433242507,0.0272479564032698,2.45062611275964,24,0.218712753277712,"STRONG","PRIOR_ONLY","participation","qb_rusher_count","5+ = blitz PROXY (rusher count, not charted blitzer identity)","career"
"00-0023682","FOUR",970,0.62680412371134,0.118209214543682,0.492783505154639,8.77047413793103,4.72203947368421,0.148453608247423,0.043298969072165,0,0.0247422680412372,0.041237113402062,2.60079094827586,25,0.578069129916567,"STRONG","PRIOR_ONLY","participation","qb_rusher_count","5+ = blitz PROXY (rusher count, not charted blitzer identity)","career"
"00-0023682","LT4",193,0.549222797927461,-0.315030548393896,0.398963730569948,7.71276595744681,4.84905660377359,0.139896373056995,0.0259067357512953,0,0.0725388601036269,0.0207253886010363,2.51387765957447,19,0.115017878426698,"STRONG","PRIOR_ONLY","participation","qb_rusher_count","5+ = blitz PROXY (rusher count, not charted blitzer identity)","career"
"00-0023682","SIXPLUS",148,0.493243243243243,0.109732214246036,0.418918918918919,10.9615384615385,4.68493150684931,0.175675675675676,0.121621621621622,0,0.0135135135135135,0.101351351351351,2.36733846153846,21,0.0882002383790226,"MODERATE","PRIOR_ONLY","participation","qb_rusher_count","5+ = blitz PROXY (rusher count, not charted blitzer identity)","career"
"00-0024226","FIVE",137,0.547445255474453,-0.262721572838639,0.372262773722628,7.25196850393701,3.82666666666667,0.102189781021898,0.072992700729927,0,0.0364963503649635,0.0145985401459854,2.54055118110236,16,0.227197346600332,"MODERATE","PRIOR_ONLY","participation","qb_rusher_count","5+ = blitz PROXY (rusher count, not charted blitzer identity)","career"
"00-0024226","FOUR",362,0.580110497237569,-0.130169136715301,0.403314917127072,8.38953488372093,4.79047619047619,0.104972375690608,0.0497237569060772,0,0.0359116022099448,0.0359116022099447,2.67539825581395,16,0.600331674958541,"STRONG","PRIOR_ONLY","participation","qb_rusher_count","5+ = blitz PROXY (rusher count, not charted blitzer identity)","career"
"00-0024226","LT4",52,0.673076923076923,0.336658042236624,0.480769230769231,10.1730769230769,5.31428571428571,0.153846153846154,0,0,0,0.0961538461538462,2.69296153846154,15,0.0862354892205638,"WEAK","PRIOR_ONLY","participation","qb_rusher_count","5+ = blitz PROXY (rusher count, not charted blitzer identity)","career"
"00-0024226","SIXPLUS",52,0.519230769230769,-0.0803123776198134,0.480769230769231,10.6046511627907,4.33333333333333,0.134615384615385,0.173076923076923,0,0.0192307692307692,0.0576923076923077,2.41344186046512,15,0.0862354892205638,"WEAK","PRIOR_ONLY","participation","qb_rusher_count","5+ = blitz PROXY (rusher count, not charted blitzer identity)","career"
"00-0024264","FIVE",5,0.6,-1.86521098810481,0.6,5,2,0,0,0,0.2,0,2.0066,2,0.555555555555556,"INSUFFICIENT","PRIOR_ONLY","participation","qb_rusher_count","5+ = blitz PROXY (rusher count, not charted blitzer identity)","career"
"00-0024264","FOUR",2,0.5,-0.968103097751737,0,20,0,0,0,0,0,0,2.5945,2,0.222222222222222,"INSUFFICIENT","PRIOR_ONLY","participation","qb_rusher_count","5+ = blitz PROXY (rusher count, not charted blitzer identity)","career"
"00-0024264","LT4",1,1,-0.274416921660304,0,2,0,0,0,0,0,0,2.446,1,0.111111111111111,"INSUFFICIENT","PRIOR_ONLY","participation","qb_rusher_count","5+ = blitz PROXY (rusher count, not charted blitzer identity)","career"
"00-0024264","SIXPLUS",1,1,0.835912501846906,1,3,0,0,0,0,0,0,1.974,1,0.111111111111111,"INSUFFICIENT","PRIOR_ONLY","participation","qb_rusher_count","5+ = blitz PROXY (rusher count, not charted blitzer identity)","career"
"00-0024296","FIVE",2,1,2.51568781031528,1,10,4,0,0,0,0,0,2.948,1,0.0769230769230769,"INSUFFICIENT","PRIOR_ONLY","participation","qb_rusher_count","5+ = blitz PROXY (rusher count, not charted blitzer identity)","career"
"00-0024296","FOUR",18,0.5,-0.0310660743432688,0.444444444444444,11.3529411764706,3.77777777777778,0.166666666666667,0.0555555555555555,0,0.0555555555555555,0.0555555555555555,3.23576470588235,1,0.692307692307692,"INSUFFICIENT","PRIOR_ONLY","participation","qb_rusher_count","5+ = blitz PROXY (rusher count, not charted blitzer identity)","career"
"00-0024296","LT4",6,0.5,-0.329987480208123,0.333333333333333,10.4,0,0.166666666666667,0.166666666666667,0,0,0,2.619,1,0.230769230769231,"INSUFFICIENT","PRIOR_ONLY","participation","qb_rusher_count","5+ = blitz PROXY (rusher count, not charted blitzer identity)","career"
"00-0025430","FIVE",40,0.525,-0.014697644992628,0.375,9.66666666666667,4.33333333333333,0.1,0.025,0,0.025,0.025,2.45592307692308,6,0.186915887850467,"WEAK","PRIOR_ONLY","participation","qb_rusher_count","5+ = blitz PROXY (rusher count, not charted blitzer identity)","career"
"00-0025430","FOUR",126,0.452380952380952,-0.160366577800188,0.365079365079365,10.925,3.94736842105263,0.126984126984127,0.0476190476190476,0,0.0238095238095238,0.0317460317460317,2.87898333333333,5,0.588785046728972,"MODERATE","PRIOR_ONLY","participation","qb_rusher_count","5+ = blitz PROXY (rusher count, not charted blitzer identity)","career"
"00-0025430","LT4",35,0.542857142857143,-0.0255097547705267,0.371428571428571,9.88571428571429,2.89473684210526,0.0571428571428571,0,0,0.0571428571428571,0.0857142857142857,2.68105714285714,4,0.163551401869159,"WEAK","PRIOR_ONLY","participation","qb_rusher_count","5+ = blitz PROXY (rusher count, not charted blitzer identity)","career"
"00-0025430","SIXPLUS",13,0.076923076923077,-1.05681635789579,0.076923076923077,19.25,6,0,0.0769230769230769,0,0.153846153846154,0,2.74391666666667,5,0.0607476635514019,"INSUFFICIENT","PRIOR_ONLY","participation","qb_rusher_count","5+ = blitz PROXY (rusher count, not charted blitzer identity)","career"
