"gsis_id","bucket","plays","completion_pct","epa_per_play","success_rate","air_yards","yac","explosive_rate","sack_rate","scramble_rate","turnover_rate","td_rate","time_to_throw","n_opp","coverage_rate_mz","evidence_class","availability","source","family","window"
"00-0032950","COVER_4",31,0.67741935483871,-0.159212536910468,0.354838709677419,3.9,4.57142857142857,0.0645161290322581,0.032258064516129,0,0.032258064516129,0,2.59,4,1,"WEAK","PRIOR_ONLY","participation","qb_coverage_family","current_team"
"00-0032950","COVER_6",7,0.571428571428571,-0.101808631376896,0.428571428571429,11.8333333333333,3,0.142857142857143,0.142857142857143,0,0.142857142857143,0.285714285714286,2.58333333333333,3,1,"INSUFFICIENT","PRIOR_ONLY","participation","qb_coverage_family","current_team"
"00-0032950","OTHER",2,0,-0.656396404374391,0,9.5,,0,0,0,0,0,2.15,2,1,"INSUFFICIENT","PRIOR_ONLY","participation","qb_coverage_family","current_team"
"00-0033077","2_MAN",205,0.531707317073171,-0.0232791431043187,0.419512195121951,9.05670103092783,5.29357798165138,0.126829268292683,0.0536585365853658,0,0.0341463414634146,0.0146341463414634,2.69041237113402,29,0.963798661046367,"STRONG","PRIOR_ONLY","participation","qb_coverage_family","current_team"
"00-0033077","COVER_0",174,0.597701149425287,0.238501187455031,0.482758620689655,5.72674418604651,4.79807692307692,0.126436781609195,0.0114942528735632,0,0.0114942528735632,0.247126436781609,2.39311627906977,30,0.963798661046367,"MODERATE","PRIOR_ONLY","participation","qb_coverage_family","current_team"
"00-0033077","COVER_1",1090,0.58440366972477,0.184161620185174,0.48256880733945,9.33081998114986,5.10832025117739,0.165137614678899,0.0266055045871559,0,0.0165137614678899,0.0596330275229358,2.66073490566038,30,0.963798661046367,"STRONG","PRIOR_ONLY","participation","qb_coverage_family","current_team"
"00-0033077","COVER_2",620,0.714516129032258,0.138036181751713,0.503225806451613,6.58637873754153,4.78555304740406,0.132258064516129,0.029032258064516,0,0.017741935483871,0.0161290322580645,2.84392537313433,29,0.963798661046367,"STRONG","PRIOR_ONLY","participation","qb_coverage_family","current_team"
"00-0033077","COVER_3",967,0.71664943123061,0.21635166344807,0.53464322647363,7.81837160751566,5.02164502164502,0.141675284384695,0.00930713547052757,0,0.0175801447776629,0.0351602895553257,2.757875782881,30,0.963798661046367,"STRONG","PRIOR_ONLY","participation","qb_coverage_family","current_team"
"00-0033077","COVER_4",514,0.708171206225681,0.311507962974653,0.542801556420234,8.1593625498008,4.51098901098901,0.1284046692607,0.0233463035019456,0,0.0214007782101168,0.066147859922179,2.73577091633466,30,0.963798661046367,"STRONG","PRIOR_ONLY","participation","qb_coverage_family","current_team"
"00-0033077","COVER_6",231,0.692640692640693,0.234893944796287,0.515151515151515,7.71428571428571,5.60625,0.164502164502165,0.0303030303030303,0,0.0173160173160173,0.0216450216450216,2.80243303571429,29,0.963798661046367,"STRONG","PRIOR_ONLY","participation","qb_coverage_family","current_team"
