"gsis_id","deep_rate","behind_los_rate","middle_rate","intermediate_middle_rate","deep_epa","short_epa","aDOT","pressure_epa_delta","pressure_scramble_rate","play_action_rate","archetype_cluster","archetype_label_status","vector_version"
"00-0032245",0.0818181818181818,0.163636363636364,0.245454545454545,0.0454545454545455,-0.291134671722858,-0.398554107612223,5.84545454545455,-0.247053280449196,0,,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0032268",0.131168283424715,0.130324757486293,0.229017292281738,0.0733867566427668,0.168186907156088,0.0655970368536093,9.16237874314635,-0.382413095566895,0,0.332810047095761,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0032434",0.102484472049689,0.204968944099379,0.211180124223602,0.0683229813664596,-0.126089823224326,-0.106547696273918,6.58385093167701,-0.438967900692446,0,0.17910447761194,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0032436",0.120822622107969,0.182519280205656,0.2853470437018,0.0848329048843188,0.101889747115791,0.00618793907522713,8.08226221079692,-0.266875322449494,0,0.372549019607843,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0032784",0.148514851485149,0.168316831683168,0.168316831683168,0.0396039603960396,-0.0814363315919583,-0.157181655739395,8.03960396039604,-0.384854105180666,0,,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0032792",0.0810810810810811,0.216216216216216,0.108108108108108,0,-0.123818642875295,-0.128930478410428,6,,,,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0032950",0.119047619047619,0.15863453815261,0.220883534136546,0.0579460699942628,0.30144457132485,0.108772326520898,8.15547905909351,-0.231094451468503,0,0.211895910780669,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0033077",0.108910891089109,0.138824520749947,0.211923319991574,0.0560353907731199,0.575466468874739,0.148046106430698,8.11438803454813,-0.332489485050849,0,0.239878542510121,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0033104",0.10632183908046,0.14367816091954,0.169540229885057,0.0373563218390805,0.170001639895356,0.199221430111928,7.30172413793104,0.056226238357713,0,,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0033106",0.0899826956354547,0.17054412612959,0.245337435108633,0.070947894635647,0.460023204971224,0.165591916255551,7.1011343972313,-0.550365944019858,0,0.275092936802974,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0033108",0.15748031496063,0.062992125984252,0.220472440944882,0.062992125984252,-0.0163483050454048,0.0302997414204267,10.1338582677165,-0.341296603938735,0,,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0033119",0.102506714413608,0.147717099373321,0.209042076991943,0.0532676812891674,0.115889543292029,0.130157058017376,7.83348254252462,-0.337113518732204,0,0.202146690518784,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0033275",0.15727002967359,0.213649851632047,0.160237388724036,0.0415430267062315,-0.0841447843398634,-0.164874300515789,8.65281899109793,-0.385651468007927,0,0.209401709401709,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
