"gsis_id","bucket","plays","completion_pct","epa_per_play","success_rate","air_yards","yac","explosive_rate","sack_rate","scramble_rate","turnover_rate","td_rate","time_to_throw","n_opp","formation_share","evidence_class","availability","source","family","window"
"00-0031237","EMPTY",158,0.658227848101266,-0.122808085889958,0.474683544303798,7.10666666666667,4.36538461538462,0.0886075949367089,0.050632911392405,0,0.0253164556962026,0.0316455696202532,2.55542,27,0.120152091254753,"STRONG","PRIOR_ONLY","participation","qb_formation","career"
"00-0031237","I_FORM",50,0.62,0.0255063356069881,0.46,6.55555555555556,6.06451612903226,0.22,0.1,0,0.02,0.02,3.38131111111111,20,0.0380228136882129,"MODERATE","PRIOR_ONLY","participation","qb_formation","career"
"00-0031237","JUMBO",3,0.666666666666667,0.209362949364992,0.333333333333333,3,0.5,0,0,0,0,0.333333333333333,3.65333333333333,3,0.00228136882129278,"INSUFFICIENT","PRIOR_ONLY","participation","qb_formation","career"
"00-0031237","PISTOL",7,1,-0.257676733300156,0.285714285714286,-3.85714285714286,7.42857142857143,0,0,0,0,0,1.61928571428571,5,0.00532319391634981,"INSUFFICIENT","PRIOR_ONLY","participation","qb_formation","career"
"00-0031237","SHOTGUN",877,0.614595210946408,0.0524957410765932,0.44811858608894,7.32068543451653,5.3469387755102,0.120866590649943,0.0684150513112885,0,0.0205245153933865,0.0342075256556443,2.70402447980416,27,0.666920152091255,"STRONG","PRIOR_ONLY","participation","qb_formation","career"
"00-0031237","SINGLEBACK",220,0.659090909090909,0.228912299573942,0.527272727272727,8.50480769230769,5.82758620689655,0.181818181818182,0.0545454545454546,0,0.0136363636363636,0.0454545454545455,3.12808173076923,26,0.167300380228137,"STRONG","PRIOR_ONLY","participation","qb_formation","career"
"00-0031280","EMPTY",484,0.652892561983471,0.0511250400431231,0.491735537190083,7.0063829787234,5.07278481012658,0.117768595041322,0.0289256198347107,0,0.018595041322314,0.0433884297520661,2.39586595744681,31,0.100728407908429,"STRONG","PRIOR_ONLY","participation","qb_formation","career"
"00-0031280","I_FORM",248,0.657258064516129,0.254849496594217,0.532258064516129,7.56410256410256,7.0920245398773,0.185483870967742,0.0564516129032258,0,0.0120967741935484,0.0483870967741936,2.8925641025641,31,0.0516129032258065,"STRONG","PRIOR_ONLY","participation","qb_formation","career"
"00-0031280","JUMBO",14,0.714285714285714,0.0384967182243209,0.642857142857143,1.07692307692308,2.9,0.0714285714285714,0.0714285714285715,0,0.0714285714285715,0.571428571428571,2.47330769230769,11,0.00291363163371488,"INSUFFICIENT","PRIOR_ONLY","participation","qb_formation","career"
"00-0031280","PISTOL",42,0.571428571428571,-0.143831560116394,0.357142857142857,7.39024390243902,6,0.142857142857143,0.0238095238095238,0,0,0.0238095238095238,2.63563414634146,20,0.00874089490114464,"MODERATE","PRIOR_ONLY","participation","qb_formation","career"
"00-0031280","SHOTGUN",3291,0.626557277423275,0.0646865775102599,0.445761166818596,7.93940365501764,5.06547041707081,0.131570951078699,0.0519598906107565,0,0.0176238225463385,0.0388939532057126,2.64179428754814,31,0.684911550468262,"STRONG","PRIOR_ONLY","participation","qb_formation","career"
