"gsis_id","field_third","carries","yards_per_carry","epa_per_rush_raw","success_rate","explosive_rate","stuff_rate","td_rate","first_down_rate","carries_total","carries_charted","carries_uncharted","epa_overall","carry_share","epa_per_rush","evidence_class","output_class","window"
"00-0024242","LEFT",293,4.85324232081911,-0.0104043110416589,0.406143344709898,0.0955631399317406,0.215017064846416,0.037542662116041,0.201365187713311,734,734,0,-0.067608734190573,0.399182561307902,-0.0201274424550721,"STRONG","OBSERVED","career"
"00-0024242","MIDDLE",229,3.56768558951965,-0.115264100010323,0.323144104803493,0.0567685589519651,0.200873362445415,0.0393013100436681,0.179039301310044,734,734,0,-0.067608734190573,0.311989100817439,-0.105370252435288,"STRONG","OBSERVED","career"
"00-0024242","RIGHT",212,3.75471698113208,-0.0951927776335408,0.344339622641509,0.0566037735849057,0.179245283018868,0.0141509433962264,0.221698113207547,734,734,0,-0.067608734190573,0.288828337874659,-0.0891080621681803,"STRONG","OBSERVED","career"
"00-0024275","LEFT",110,3.40909090909091,-0.162290251976371,0.309090909090909,0.0545454545454545,0.190909090909091,0.0181818181818182,0.190909090909091,364,363,1,-0.117475606052605,0.303030303030303,-0.146473318120924,"STRONG","OBSERVED","career"
"00-0024275","MIDDLE",167,3.49700598802395,-0.0899083398632188,0.329341317365269,0.0419161676646707,0.227544910179641,0.0239520958083832,0.197604790419162,364,363,1,-0.117475606052605,0.460055096418733,-0.0971948419397086,"STRONG","OBSERVED","career"
"00-0024275","RIGHT",86,4.11627906976744,-0.104040699169652,0.313953488372093,0.0813953488372093,0.290697674418605,0,0.174418604651163,364,363,1,-0.117475606052605,0.236914600550964,-0.109561893779085,"MODERATE","OBSERVED","career"
"00-0024332","LEFT",12,3.33333333333333,-0.60883789590783,0.25,0.0833333333333333,0.25,0.0833333333333333,0.166666666666667,38,37,1,-0.383560523774181,0.324324324324324,-0.421106752463123,"INSUFFICIENT","OBSERVED","career"
"00-0024332","MIDDLE",15,4.6,-0.116491758363773,0.133333333333333,0.0666666666666667,0.0666666666666667,0,0.0666666666666667,38,37,1,-0.383560523774181,0.405405405405405,-0.3301467706921,"WEAK","OBSERVED","career"
"00-0024332","RIGHT",10,3.2,-0.457486877706833,0.3,0.1,0.4,0,0.1,38,37,1,-0.383560523774181,0.27027027027027,-0.394121431478846,"INSUFFICIENT","OBSERVED","career"
"00-0024813","LEFT",133,4.01503759398496,-0.0273882603262658,0.390977443609023,0.0451127819548872,0.203007518796992,0.00751879699248119,0.210526315789474,313,312,1,-0.010400898207804,0.426282051282051,-0.0221072151080912,"STRONG","OBSERVED","career"
"00-0024813","MIDDLE",37,5.51351351351351,0.189901894106328,0.567567567567568,0.0810810810810811,0.162162162162162,0,0.297297297297297,313,312,1,-0.010400898207804,0.118589743589744,0.0660032596852155,"WEAK","OBSERVED","career"
"00-0024813","RIGHT",142,4.01408450704225,-0.0400860042083341,0.429577464788732,0.0563380281690141,0.190140845070423,0.0281690140845071,0.183098591549296,313,312,1,-0.010400898207804,0.455128205128205,-0.0312686459903548,"STRONG","OBSERVED","career"
"00-0025394","LEFT",567,4.1657848324515,-0.0815556288183597,0.375661375661376,0.0899470899470899,0.223985890652557,0.0335097001763669,0.218694885361552,1825,1824,1,-0.0715813115216004,0.310855263157895,-0.0806011486942679,"STRONG","OBSERVED","career"
"00-0025394","MIDDLE",571,3.93870402802101,-0.147429940226005,0.31523642732049,0.0630472854640981,0.220665499124343,0.0315236427320491,0.18739054290718,1825,1824,1,-0.0715813115216004,0.313048245614035,-0.140217709287393,"STRONG","OBSERVED","career"
"00-0025394","RIGHT",686,5.18221574344024,-0.00184308471991324,0.376093294460641,0.107871720116618,0.221574344023324,0.0276967930029154,0.217201166180758,1825,1824,1,-0.0715813115216004,0.37609649122807,-0.0074520573849283,"STRONG","OBSERVED","career"
"00-0025396","LEFT",27,8.92592592592593,0.511431348328996,0.740740740740741,0.333333333333333,0.0740740740740741,0,0.518518518518518,42,42,0,0.232514170529265,0.642857142857143,0.319074673984354,"WEAK","OBSERVED","career"
"00-0025396","MIDDLE",0,,,,,,,,42,42,0,0.232514170529265,0,0.232514170529265,"INSUFFICIENT","OBSERVED","career"
"00-0025396","RIGHT",15,2.8,-0.26953674951025,0.333333333333333,0.0666666666666667,0.266666666666667,0,0.0666666666666667,42,42,0,0.232514170529265,0.357142857142857,0.132103986521362,"WEAK","OBSERVED","career"
"00-0025399","LEFT",519,4.26589595375723,-0.0520569807224927,0.402697495183044,0.0867052023121387,0.192678227360308,0.0327552986512524,0.225433526011561,1317,1315,2,-0.0143711427906805,0.39467680608365,-0.0481517125430303,"STRONG","OBSERVED","career"
"00-0025399","MIDDLE",361,4.50969529085873,0.027535325811931,0.418282548476454,0.0664819944598338,0.157894736842105,0.0637119113573407,0.227146814404432,1317,1315,2,-0.0143711427906805,0.274524714828897,0.0215629074837679,"STRONG","OBSERVED","career"
"00-0025399","RIGHT",435,4.69195402298851,-0.00317169745482152,0.4,0.0919540229885057,0.195402298850575,0.0229885057471265,0.241379310344828,1317,1315,2,-0.0143711427906805,0.330798479087452,-0.00452920598038018,"STRONG","OBSERVED","career"
"00-0025439","LEFT",38,3.92105263157895,-0.110105817760709,0.421052631578947,0.0526315789473684,0.210526315789474,0,0.236842105263158,80,80,0,-0.0922036085947184,0.475,-0.099145281536633,"WEAK","OBSERVED","career"
"00-0025439","MIDDLE",14,3.07142857142857,-0.307705834408158,0.214285714285714,0.0714285714285714,0.214285714285714,0,0.142857142857143,80,80,0,-0.0922036085947184,0.175,-0.132974299964829,"INSUFFICIENT","OBSERVED","career"
"00-0025439","RIGHT",28,3.42857142857143,0.0398433596087021,0.357142857142857,0.0357142857142857,0.142857142857143,0,0.285714285714286,80,80,0,-0.0922036085947184,0.35,-0.0501886641663574,"WEAK","OBSERVED","career"
"00-0025487","LEFT",58,2.58620689655172,-0.270094685459706,0.293103448275862,0.0517241379310345,0.258620689655172,0.0517241379310345,0.206896551724138,177,177,0,-0.126970066306774,0.327683615819209,-0.197319455381944,"MODERATE","OBSERVED","career"
"00-0025487","MIDDLE",32,3.375,-0.0899256944105133,0.3125,0,0.1875,0.03125,0.09375,177,177,0,-0.126970066306774,0.180790960451977,-0.114085067386335,"WEAK","OBSERVED","career"
