"team","run_gap","carries_allowed","yards_per_carry_allowed","epa_per_rush_allowed","success_rate_allowed","explosive_rate_allowed","evidence_class","output_class","window"
"KC","END",1344,4.90625,0.00373260686664538,0.4375,0.104910714285714,"STRONG","OBSERVED","career"
"KC","GUARD",1251,4.13109512390088,-0.0509317941341976,0.403677058353318,0.0543565147881695,"STRONG","OBSERVED","career"
"KC","TACKLE",915,4.36393442622951,-0.096477044399355,0.379234972677596,0.0896174863387978,"STRONG","OBSERVED","career"
"LAC","END",1249,5.08246597277823,-0.0138615204488762,0.422738190552442,0.11609287429944,"STRONG","OBSERVED","career"
"LAC","GUARD",1173,4.09803921568628,-0.0616306423706623,0.397271952259164,0.0494458653026428,"STRONG","OBSERVED","career"
"LAC","TACKLE",1238,4.92407108239095,-0.0244124740472543,0.420032310177706,0.103392568659128,"STRONG","OBSERVED","career"
"LAR","END",1099,4.88171064604186,-0.00509321818194383,0.427661510464058,0.121929026387625,"STRONG","OBSERVED","career"
"LAR","GUARD",1100,3.90454545454545,-0.118110104499764,0.352727272727272,0.0645454545454545,"STRONG","OBSERVED","career"
"LAR","TACKLE",1507,4.31917717319177,-0.0846030138458317,0.372926343729263,0.0882548108825481,"STRONG","OBSERVED","career"
"LV","END",1171,4.62339880444065,0.0123703607367874,0.4466268146883,0.112724167378309,"STRONG","OBSERVED","career"
"LV","GUARD",1440,4.15833333333333,-0.084461119538821,0.377083333333333,0.0569444444444444,"STRONG","OBSERVED","career"
"LV","TACKLE",1325,4.44754716981132,-0.0440955185468939,0.387169811320755,0.0769811320754717,"STRONG","OBSERVED","career"
"MIA","END",1112,5.39118705035971,0.0807767015136681,0.469424460431655,0.133992805755396,"STRONG","OBSERVED","career"
"MIA","GUARD",1683,4.18894830659537,-0.045234292959419,0.390968508615567,0.0576351752822341,"STRONG","OBSERVED","career"
"MIA","TACKLE",1375,4.31709090909091,-0.0920265747953355,0.371636363636363,0.0836363636363636,"STRONG","OBSERVED","career"
"MIN","END",1546,4.67593790426908,-0.0702875339055708,0.423673997412678,0.100905562742561,"STRONG","OBSERVED","career"
"MIN","GUARD",1349,3.94217939214233,-0.0904767567019993,0.383988139362491,0.0459599703484062,"STRONG","OBSERVED","career"
"MIN","TACKLE",1333,4.31282820705176,-0.0652568850680659,0.396849212303076,0.0532633158289572,"STRONG","OBSERVED","career"
"NE","END",1120,5.12053571428571,0.0338929616035803,0.454464285714286,0.124107142857143,"STRONG","OBSERVED","career"
"NE","GUARD",1484,4.14353099730458,-0.0750526997303333,0.392183288409703,0.0579514824797844,"STRONG","OBSERVED","career"
"NE","TACKLE",1264,4.01819620253165,-0.124453783252518,0.363924050632911,0.0735759493670886,"STRONG","OBSERVED","career"
"NO","END",1396,5.31733524355301,0.0547969892975786,0.453438395415473,0.131805157593123,"STRONG","OBSERVED","career"
