"gsis_id","run_gap","carries","yards_per_carry","epa_per_rush_raw","success_rate","explosive_rate","stuff_rate","epa_overall","epa_per_rush","evidence_class","output_class","window"
"00-0040242","END",25,4.88,0.168228385874536,0.48,0.08,0.12,-0.0371067030779483,0.0232859701433706,"WEAK","OBSERVED","career"
"00-0040242","GUARD",58,4.24137931034483,-0.0427450478881807,0.413793103448276,0.0517241379310345,0.206896551724138,-0.0371067030779483,-0.0398780928999269,"MODERATE","OBSERVED","career"
"00-0040242","TACKLE",48,6.04166666666667,-0.0500644471151948,0.4375,0.0833333333333333,0.125,-0.0371067030779483,-0.0428657004278356,"MODERATE","OBSERVED","career"
"00-0040466","GUARD",7,4.28571428571429,-0.0579802637803368,0.285714285714286,0,0.142857142857143,0.0333647773713219,0.0238212656092083,"INSUFFICIENT","OBSERVED","career"
"00-0040466","TACKLE",9,2.11111111111111,-0.258936453837022,0.333333333333333,0,0.333333333333333,0.0333647773713219,-0.00476147017759247,"INSUFFICIENT","OBSERVED","career"
"00-0040583","END",31,4.12903225806452,-0.0865482459325464,0.354838709677419,0.0967741935483871,0.225806451612903,-0.148869604269161,-0.127639251429215,"WEAK","OBSERVED","career"
"00-0040583","GUARD",52,4.17307692307692,-0.0689738849457011,0.423076923076923,0.0961538461538462,0.211538461538462,-0.148869604269161,-0.111775163154697,"MODERATE","OBSERVED","career"
"00-0040583","TACKLE",64,3.046875,-0.29443722126089,0.28125,0.03125,0.265625,-0.148869604269161,-0.224001277555215,"MODERATE","OBSERVED","career"
"00-0040586","END",8,1.75,-0.538985500737908,0.125,0.125,0.625,-0.197043038325654,-0.237271563315331,"INSUFFICIENT","OBSERVED","career"
"00-0040586","GUARD",3,3.33333333333333,-0.121963003145841,0.333333333333333,0,0.333333333333333,-0.197043038325654,-0.193467798555187,"INSUFFICIENT","OBSERVED","career"
"00-0040586","TACKLE",17,4.35294117647059,-0.116150922929485,0.294117647058824,0.0588235294117647,0.235294117647059,-0.197043038325654,-0.179183740121305,"WEAK","OBSERVED","career"
"00-0040644","END",7,5,-0.316489195243256,0.142857142857143,0.142857142857143,0.142857142857143,-0.0785151889023837,-0.103378144788743,"INSUFFICIENT","OBSERVED","career"
"00-0040644","GUARD",3,6.33333333333333,0.455110314593185,1,0,0,-0.0785151889023837,-0.0531044506406899,"INSUFFICIENT","OBSERVED","career"
"00-0040644","TACKLE",4,4.5,0.00194651439232985,0.25,0.25,0.25,-0.0785151889023837,-0.0734863324464641,"INSUFFICIENT","OBSERVED","career"
"00-0040666","END",24,6.25,0.331027863089889,0.541666666666667,0.0833333333333333,0.166666666666667,-0.00625595906023153,0.0901108472683744,"WEAK","OBSERVED","career"
"00-0040666","GUARD",29,2.31034482758621,-0.357853594516075,0.241379310344828,0.0344827586206897,0.310344827586207,-0.00625595906023153,-0.120821480725619,"WEAK","OBSERVED","career"
"00-0040666","TACKLE",44,5.77272727272727,0.154434498381027,0.477272727272727,0.136363636363636,0.204545454545455,-0.00625595906023153,0.0617284652418393,"MODERATE","OBSERVED","career"
"00-0040691","END",11,5,-0.11465591606049,0.454545454545455,0,0.0909090909090909,0.317458993770898,0.250511613374485,"INSUFFICIENT","OBSERVED","career"
"00-0040691","GUARD",8,4.125,0.292554889892926,0.75,0,0.125,0.317458993770898,0.314529099197019,"INSUFFICIENT","OBSERVED","career"
"00-0040691","TACKLE",9,7.44444444444445,1.09907057495891,0.666666666666667,0.222222222222222,0.111111111111111,0.317458993770898,0.419408330447595,"INSUFFICIENT","OBSERVED","career"
"00-0040715","END",15,4.06666666666667,-0.053031526003421,0.333333333333333,0.133333333333333,0.266666666666667,-0.118596339720963,-0.105483376977455,"WEAK","OBSERVED","career"
"00-0040715","GUARD",27,4.44444444444444,0.0657795514077104,0.444444444444444,0.037037037037037,0.185185185185185,-0.118596339720963,-0.0613762355775818,"WEAK","OBSERVED","career"
"00-0040715","TACKLE",25,3.64,-0.193041131330431,0.36,0.04,0.08,-0.118596339720963,-0.140491866664924,"WEAK","OBSERVED","career"
"00-0040719","END",19,4.47368421052632,-0.033656026438908,0.578947368421053,0.0526315789473684,0.105263157894737,-0.12128962380061,-0.100213188992099,"WEAK","OBSERVED","career"
"00-0040719","GUARD",17,4.05882352941176,-0.2953174754717,0.411764705882353,0.117647058823529,0.294117647058824,-0.12128962380061,-0.159711357286435,"WEAK","OBSERVED","career"
"00-0040719","TACKLE",11,2.72727272727273,-0.144276990761599,0.272727272727273,0,0.0909090909090909,-0.12128962380061,-0.124851046850904,"INSUFFICIENT","OBSERVED","career"
"00-0040730","END",42,3.21428571428571,-0.204723257243001,0.30952380952381,0.0238095238095238,0.357142857142857,-0.155695000210418,-0.175883106047364,"MODERATE","OBSERVED","career"
"00-0040730","GUARD",37,3.91891891891892,-0.433170284518997,0.243243243243243,0.0540540540540541,0.216216216216216,-0.155695000210418,-0.261536088039464,"WEAK","OBSERVED","career"
"00-0040730","TACKLE",35,4,0.0671182939965677,0.4,0.0285714285714286,0.142857142857143,-0.155695000210418,-0.0736058918183707,"WEAK","OBSERVED","career"
"00-0040734","END",42,7.73809523809524,0.285631171556555,0.523809523809524,0.19047619047619,0.19047619047619,0.046857415539922,0.145176020958536,"MODERATE","OBSERVED","career"
"00-0040734","GUARD",46,5.78260869565217,0.211293672417364,0.478260869565217,0.0869565217391304,0.152173913043478,0.046857415539922,0.118216545882963,"MODERATE","OBSERVED","career"
"00-0040734","TACKLE",50,3.42,-0.164056562235346,0.32,0.04,0.22,0.046857415539922,-0.0490125743579272,"MODERATE","OBSERVED","career"
"00-0040784","END",31,3.83870967741935,-0.210892546503249,0.354838709677419,0.129032258064516,0.258064516129032,-0.108670436919922,-0.143493353371385,"WEAK","OBSERVED","career"
"00-0040784","GUARD",76,3.57894736842105,-0.0888948475866959,0.328947368421053,0.0657894736842105,0.25,-0.108670436919922,-0.0976193722925307,"MODERATE","OBSERVED","career"
