"team","live__plays_faced","live__epa_per_play_allowed","live__success_allowed","live__explosive_pass_allowed","live__explosive_rush_allowed","man_zone__charted_mz","man_zone__man_rate","man_zone__zone_rate","coverage_family__charted_cov","coverage_family__cover_1","coverage_family__cover_2","coverage_family__cover_3","coverage_family__cover_4","coverage_family__cover_6","coverage_family__two_man","coverage_family__cover_0","pressure__charted_pressure","pressure__pressure_rate_generated","pressure__blitz_proxy_rate","pressure__pressure_without_heavy_blitz_rate","box__mean_box_deployed","box__heavy_box_rate","side","window"
"LV",3224,-0.0201335793533449,0.432692307692308,0.0648263027295285,0.0316377171215881,1755,0.30997150997151,0.69002849002849,1755,0.225071225071225,0.23019943019943,0.27977207977208,0.0843304843304843,0.0398860398860399,0.0341880341880342,0.0507122507122507,1759,0.274587833996589,0.243458475540387,0.181921546333144,6.64673913043478,0.123447204968944,"defense","recent"
"MIA",3104,0.00358377854529821,0.443298969072165,0.0753865979381443,0.0347938144329897,1774,0.404735062006764,0.595264937993236,1774,0.316234498308906,0.227733934611048,0.175310033821871,0.0958286358511838,0.0450958286358512,0.052423900789177,0.0360766629086809,1778,0.308211473565804,0.259280089988751,0.213723284589426,6.63905325443787,0.145393068469992,"defense","recent"
"MIN",3208,-0.0740473084748002,0.415523690773067,0.0720074812967581,0.0268079800498753,1820,0.252747252747253,0.747252747252747,1820,0.132967032967033,0.287912087912088,0.242857142857143,0.110989010989011,0.043956043956044,0.060989010989011,0.0587912087912088,1824,0.299890350877193,0.451206140350877,0.146929824561404,6.587907716786,0.140015910898966,"defense","recent"
"NE",3145,-0.0198929376402891,0.430524642289348,0.0667726550079491,0.0276629570747218,1722,0.436701509872242,0.563298490127758,1722,0.349012775842044,0.199186991869919,0.236353077816492,0.0760743321718931,0.021486643437863,0.0441347270615563,0.0435540069686411,1729,0.268363215731637,0.292076344707924,0.15962984384037,6.56816390858944,0.110323089046493,"defense","recent"
"NO",3239,-0.045533143419097,0.412472985489349,0.0682309354739117,0.0355047854276011,1746,0.457617411225659,0.542382588774341,1746,0.351088201603665,0.202749140893471,0.179266895761741,0.06815578465063,0.0446735395189003,0.0738831615120275,0.0326460481099656,1749,0.265866209262436,0.230989136649514,0.185820468839337,6.56018518518519,0.108024691358025,"defense","recent"
"NYG",3204,0.0342354864371569,0.451935081148564,0.0720973782771536,0.0483770287141074,1746,0.465635738831615,0.534364261168385,1746,0.367697594501718,0.138029782359679,0.234249713631157,0.101947308132875,0.0274914089347079,0.0521191294387171,0.0458190148911798,1747,0.301659988551803,0.368059530623927,0.163709215798512,6.60670731707317,0.11890243902439,"defense","recent"
"NYJ",3244,0.00587140374672841,0.413070283600495,0.0656596794081381,0.0369913686806412,1667,0.457108578284343,0.542891421715657,1667,0.355128974205159,0.181163767246551,0.172165566886623,0.0839832033593281,0.0485902819436113,0.0599880023995201,0.0419916016796641,1670,0.297005988023952,0.244311377245509,0.198203592814371,6.65527065527066,0.14031339031339,"defense","recent"
"PHI",3201,-0.0446569594379667,0.417057169634489,0.0674789128397376,0.0324898469228366,1853,0.484079870480302,0.515920129519698,1853,0.358337830545062,0.154883971937399,0.174311926605505,0.0766324878575283,0.0442525634106854,0.091743119266055,0.0339989206691851,1853,0.295736643281166,0.202374527792768,0.217485159201295,6.50169491525424,0.1,"defense","recent"
"PIT",3240,-0.0251158762720103,0.425925925925926,0.0842592592592593,0.0305555555555556,1887,0.398516163222046,0.601483836777954,1887,0.307366189719131,0.184419713831479,0.275569687334393,0.0662427133015368,0.0381558028616852,0.0673025967143614,0.0238473767885533,1891,0.305129561078794,0.282919090428345,0.200423056583818,6.80885972108285,0.228876127973749,"defense","recent"
"SEA",3288,-0.0322654083273239,0.425182481751824,0.0650851581508516,0.0295012165450122,1888,0.38771186440678,0.61228813559322,1888,0.280190677966102,0.228283898305085,0.203389830508475,0.0757415254237288,0.0529661016949153,0.0752118644067797,0.0323093220338983,1890,0.316402116402116,0.221164021164021,0.216402116402116,6.56230031948882,0.12779552715655,"defense","recent"
