"gsis_id","bucket","carries","yards_per_carry","epa_per_rush","success_rate","explosive_rate","stuff_rate","td_rate","n_opp","carries_eligible","box_coverage_rate","mean_box_faced","box_share","evidence_class","availability","source","family","window"
"00-0028011","NEUTRAL",19,2.63157894736842,-0.34531947822114,0.210526315789474,0,0.210526315789474,0,7,58,1,7.58620689655172,0.327586206896552,"WEAK","PRIOR_ONLY","participation","rb_box","career"
"00-0028064","HEAVY",110,3.75454545454545,-0.145307635171709,0.272727272727273,0.0909090909090909,0.318181818181818,0.0454545454545455,20,448,1,6.796875,0.245535714285714,"STRONG","PRIOR_ONLY","participation","rb_box","career"
"00-0028064","LIGHT",190,4.95263157894737,0.0179314610908897,0.4,0.0947368421052632,0.136842105263158,0.0105263157894737,26,448,1,6.796875,0.424107142857143,"STRONG","PRIOR_ONLY","participation","rb_box","career"
"00-0028064","NEUTRAL",148,4.75675675675676,-0.122595658084662,0.337837837837838,0.108108108108108,0.256756756756757,0.00675675675675676,23,448,1,6.796875,0.330357142857143,"STRONG","PRIOR_ONLY","participation","rb_box","career"
"00-0028083","HEAVY",51,1.70588235294118,-0.333545665858158,0.235294117647059,0,0.372549019607843,0.0588235294117647,14,226,1,6.93805309734513,0.225663716814159,"MODERATE","PRIOR_ONLY","participation","rb_box","career"
"00-0028083","LIGHT",68,4.98529411764706,-0.0395931290883848,0.382352941176471,0.102941176470588,0.161764705882353,0,20,226,1,6.93805309734513,0.300884955752212,"MODERATE","PRIOR_ONLY","participation","rb_box","career"
"00-0028083","NEUTRAL",107,4.52336448598131,0.0141891388578349,0.411214953271028,0.0934579439252336,0.242990654205607,0.00934579439252336,19,226,1,6.93805309734513,0.473451327433628,"STRONG","PRIOR_ONLY","participation","rb_box","career"
"00-0028087","HEAVY",117,3.11965811965812,-0.119079452417556,0.35042735042735,0.0512820512820513,0.247863247863248,0.0512820512820513,21,482,1,6.88174273858921,0.242738589211618,"STRONG","PRIOR_ONLY","participation","rb_box","career"
"00-0028087","LIGHT",169,4.66272189349112,-0.0367999778933862,0.467455621301775,0.0887573964497041,0.14792899408284,0.00591715976331361,27,482,1,6.88174273858921,0.350622406639004,"STRONG","PRIOR_ONLY","participation","rb_box","career"
"00-0028087","NEUTRAL",196,4.4234693877551,-0.071749369591976,0.36734693877551,0.0918367346938776,0.204081632653061,0.0102040816326531,25,482,1,6.88174273858921,0.406639004149378,"STRONG","PRIOR_ONLY","participation","rb_box","career"
"00-0028118","HEAVY",19,1.78947368421053,-0.36798850159447,0.368421052631579,0.0526315789473684,0.368421052631579,0.157894736842105,13,102,1,6.70588235294118,0.186274509803922,"WEAK","PRIOR_ONLY","participation","rb_box","career"
"00-0028118","LIGHT",45,5.53333333333333,-0.0278263414972354,0.422222222222222,0.177777777777778,0.266666666666667,0.0222222222222222,23,102,1,6.70588235294118,0.441176470588235,"MODERATE","PRIOR_ONLY","participation","rb_box","career"
"00-0028118","NEUTRAL",38,5.10526315789474,-0.0809285322976729,0.394736842105263,0.157894736842105,0.394736842105263,0.131578947368421,20,102,1,6.70588235294118,0.372549019607843,"WEAK","PRIOR_ONLY","participation","rb_box","career"
