"gsis_id","bucket","targets","catch_rate","yards_per_target","air_yards","yac","epa_per_target","success_rate","explosive_rate","n_opp","targets_eligible","targets_charted_mz","mz_coverage_rate","target_share_vs_bucket","evidence_class","availability","source","family","window"
"00-0030061","ZONE",472,0.694915254237288,7.08474576271187,8.37923728813559,3.11280487804878,0.0662744895003708,0.531779661016949,0.108050847457627,32,758,750,0.989445910290237,0.629333333333333,"STRONG","PRIOR_ONLY","participation","receiver_coverage","career"
"00-0030068","MAN",52,0.5,8.28846153846154,12.1346153846154,5.80769230769231,0.173567526263894,0.461538461538462,0.230769230769231,20,160,160,1,0.325,"WEAK","PRIOR_ONLY","participation","receiver_coverage","career"
"00-0030068","ZONE",108,0.555555555555556,8.49074074074074,14.5648148148148,3.76666666666667,0.333792075412559,0.490740740740741,0.222222222222222,22,160,160,1,0.675,"MODERATE","PRIOR_ONLY","participation","receiver_coverage","career"
"00-0030085","MAN",72,0.555555555555556,7.125,12.6944444444444,2.925,0.364670944358901,0.486111111111111,0.152777777777778,21,162,161,0.993827160493827,0.447204968944099,"WEAK","PRIOR_ONLY","participation","receiver_coverage","career"
"00-0030085","ZONE",89,0.606741573033708,9.75280898876404,15.3932584269663,3.42592592592593,0.287522662438772,0.48314606741573,0.202247191011236,24,162,161,0.993827160493827,0.552795031055901,"MODERATE","PRIOR_ONLY","participation","receiver_coverage","career"
"00-0030089","MAN",9,0.555555555555556,4,6.22222222222222,2.8,-0.300081475417958,0.444444444444444,0.111111111111111,7,32,32,1,0.28125,"INSUFFICIENT","PRIOR_ONLY","participation","receiver_coverage","career"
"00-0030089","ZONE",23,0.739130434782609,6.17391304347826,4.34782608695652,4.94117647058824,-0.258673663959717,0.608695652173913,0.0434782608695652,14,32,32,1,0.71875,"INSUFFICIENT","PRIOR_ONLY","participation","receiver_coverage","career"
"00-0030107","MAN",18,0.722222222222222,3.72222222222222,2.72222222222222,5.76923076923077,-0.447471018900008,0.277777777777778,0.111111111111111,10,80,79,0.9875,0.227848101265823,"INSUFFICIENT","PRIOR_ONLY","participation","receiver_coverage","career"
"00-0030107","ZONE",61,0.852459016393443,5.83606557377049,0.213114754098361,6.94230769230769,-0.059263768007749,0.442622950819672,0.0819672131147541,12,80,79,0.9875,0.772151898734177,"WEAK","PRIOR_ONLY","participation","receiver_coverage","career"
"00-0030108","MAN",47,0.617021276595745,5.59574468085107,5,6.75862068965517,0.144096196348845,0.404255319148936,0.127659574468085,15,148,146,0.986486486486487,0.321917808219178,"WEAK","PRIOR_ONLY","participation","receiver_coverage","career"
"00-0030108","ZONE",99,0.696969696969697,7.42424242424242,6.54545454545454,4.97101449275362,0.0866512347958984,0.545454545454545,0.131313131313131,23,148,146,0.986486486486487,0.678082191780822,"MODERATE","PRIOR_ONLY","participation","receiver_coverage","career"
"00-0030147","MAN",10,0.5,7.5,13.3,2.4,0.180838100379333,0.5,0.2,7,27,27,1,0.37037037037037,"INSUFFICIENT","PRIOR_ONLY","participation","receiver_coverage","career"
"00-0030147","ZONE",17,0.470588235294118,8.11764705882353,16,2.125,0.0962795858320562,0.352941176470588,0.117647058823529,8,27,27,1,0.62962962962963,"INSUFFICIENT","PRIOR_ONLY","participation","receiver_coverage","career"
"00-0030155","MAN",26,0.538461538461538,5.88461538461538,8.73076923076923,5.85714285714286,0.188280288143477,0.461538461538462,0.115384615384615,12,73,72,0.986301369863014,0.361111111111111,"INSUFFICIENT","PRIOR_ONLY","participation","receiver_coverage","career"
"00-0030155","ZONE",46,0.5,4.67391304347826,5.43478260869565,4.30434782608696,-0.189006355923943,0.369565217391304,0.0869565217391304,20,73,72,0.986301369863014,0.638888888888889,"WEAK","PRIOR_ONLY","participation","receiver_coverage","career"
"00-0030181","MAN",72,0.652777777777778,7.19444444444445,6.70833333333333,5.25531914893617,0.224230922433681,0.583333333333333,0.166666666666667,24,184,181,0.983695652173913,0.397790055248619,"WEAK","PRIOR_ONLY","participation","receiver_coverage","career"
"00-0030181","ZONE",109,0.678899082568807,6.67889908256881,6.43119266055046,3.95945945945946,0.108447540413057,0.55045871559633,0.091743119266055,23,184,181,0.983695652173913,0.602209944751381,"MODERATE","PRIOR_ONLY","participation","receiver_coverage","career"
"00-0030216","MAN",22,0.636363636363636,5.86363636363636,5.36363636363636,6.71428571428571,0.28620517759179,0.545454545454545,0.181818181818182,14,69,69,1,0.318840579710145,"INSUFFICIENT","PRIOR_ONLY","participation","receiver_coverage","career"
"00-0030216","ZONE",47,0.74468085106383,6.97872340425532,3.68085106382979,7.77142857142857,0.221961979527631,0.468085106382979,0.170212765957447,17,69,69,1,0.681159420289855,"WEAK","PRIOR_ONLY","participation","receiver_coverage","career"
"00-0030279","MAN",474,0.624472573839662,6.76793248945147,8.48414376321353,3.69932432432433,0.238408579500235,0.527426160337553,0.135021097046413,31,1077,1072,0.99535747446611,0.442164179104478,"STRONG","PRIOR_ONLY","participation","receiver_coverage","career"
"00-0030279","ZONE",598,0.729096989966555,8.12876254180602,9.01842546063652,3.62155963302752,0.323939436681142,0.561872909698997,0.158862876254181,31,1077,1072,0.99535747446611,0.557835820895522,"STRONG","PRIOR_ONLY","participation","receiver_coverage","career"
"00-0030288","MAN",68,0.61764705882353,6.26470588235294,4.38235294117647,7.92857142857143,-0.149654281116528,0.411764705882353,0.147058823529412,20,174,174,1,0.390804597701149,"WEAK","PRIOR_ONLY","participation","receiver_coverage","career"
"00-0030288","ZONE",106,0.811320754716981,5.33962264150943,0.226415094339623,6.66279069767442,-0.183173060537185,0.377358490566038,0.0660377358490566,24,174,174,1,0.609195402298851,"MODERATE","PRIOR_ONLY","participation","receiver_coverage","career"
