"gsis_id","plays","completion_pct","epa_per_play","success_rate","air_yards","yac","explosive_rate","sack_rate","scramble_rate","turnover_rate","td_rate","time_to_throw","n_opp","concept","frequency","plays_with_concept","charted_plays","evidence_class","availability","source","family","window"
"00-0029604",70,0.885714285714286,-0.322439524445538,0.385714285714286,-3.57142857142857,8.69354838709677,0.0428571428571429,0,0,0.0285714285714286,0.0142857142857143,1.56957142857143,16,"screen",0.0925925925925926,70,756,"MODERATE","DESCRIPTIVE_ONLY","ftn","qb_concepts","current_team"
"00-0029701",59,0.88135593220339,0.223110567060071,0.423728813559322,-3.79661016949153,13.1538461538462,0.152542372881356,0,0,0,0.0338983050847458,2.15379310344828,16,"screen",0.0956239870340357,59,617,"MODERATE","DESCRIPTIVE_ONLY","ftn","qb_concepts","current_team"
"00-0030565",45,0.822222222222222,-0.118525788496216,0.377777777777778,-4.31111111111111,9.43243243243243,0.0222222222222222,0,0,0,0.0444444444444445,1.74,12,"screen",0.0898203592814371,45,501,"MODERATE","DESCRIPTIVE_ONLY","ftn","qb_concepts","current_team"
"00-0031280",89,0.853932584269663,0.0257309722016489,0.393258426966292,-3.38202247191011,9.93421052631579,0.0898876404494382,0,0,0,0.0224719101123595,1.60761363636364,17,"screen",0.102771362586605,89,866,"MODERATE","DESCRIPTIVE_ONLY","ftn","qb_concepts","current_team"
"00-0031288",2,0.5,-0.292760894400999,0.5,-4.5,12,0,0,0,0,0,2.3,1,"screen",0.333333333333333,2,6,"INSUFFICIENT","DESCRIPTIVE_ONLY","ftn","qb_concepts","current_team"
"00-0032156",19,0.842105263157895,0.148595090651402,0.578947368421053,-3.05263157894737,11.1875,0,0,0,0,0,2.02631578947368,4,"screen",0.118012422360248,19,161,"WEAK","DESCRIPTIVE_ONLY","ftn","qb_concepts","current_team"
"00-0032268",27,0.888888888888889,-0.226285152409452,0.37037037037037,-3.88888888888889,8.33333333333333,0.037037037037037,0,0,0.037037037037037,0.037037037037037,1.66666666666667,10,"screen",0.0940766550522648,27,287,"WEAK","DESCRIPTIVE_ONLY","ftn","qb_concepts","current_team"
"00-0032950",17,0.88235294117647,0.0072061689228148,0.411764705882353,-3.70588235294118,8.06666666666667,0,0,0,0,0,1.71176470588235,5,"screen",0.0909090909090909,17,187,"WEAK","DESCRIPTIVE_ONLY","ftn","qb_concepts","current_team"
"00-0033077",141,0.886524822695036,-0.037448473765862,0.439716312056738,-3.07857142857143,7.96,0.0425531914893617,0.00709219858156028,0,0,0.0283687943262411,1.82695714285714,28,"screen",0.0713562753036437,141,1976,"STRONG","DESCRIPTIVE_ONLY","ftn","qb_concepts","current_team"
"00-0033106",253,0.861660079051383,0.115000669853294,0.49802371541502,-3.67588932806324,11.1605504587156,0.0909090909090909,0,0,0.00790513833992096,0.0355731225296443,1.75728571428571,31,"screen",0.104502271788517,253,2421,"STRONG","DESCRIPTIVE_ONLY","ftn","qb_concepts","current_team"
"00-0033119",40,0.9,0.0299790955195954,0.45,-2.5,7.97222222222222,0.1,0,0,0,0,2.03333333333333,10,"screen",0.0759013282732448,40,527,"MODERATE","DESCRIPTIVE_ONLY","ftn","qb_concepts","current_team"
"00-0033275",15,0.866666666666667,0.431179104638672,0.466666666666667,-2.86666666666667,14.8461538461538,0.2,0,0,0,0,2.04,4,"screen",0.12396694214876,15,121,"WEAK","DESCRIPTIVE_ONLY","ftn","qb_concepts","current_team"
"00-0033357",4,0.75,-0.148657805926632,0.25,-3.25,8,0,0,0,0,0,1.74525,4,"screen",0.0909090909090909,4,44,"INSUFFICIENT","DESCRIPTIVE_ONLY","ftn","qb_concepts","current_team"
